date,product_category,units_sold,forecast_ma
2022-12-28,Electronics,319.0,274.94
2022-12-29,Electronics,344.2,274.94
2022-12-30,Electronics,330.65,274.94
2022-12-31,Electronics,317.1,274.94
2023-01-01,Electronics,314.4,274.94
2023-01-02,Electronics,311.65,274.94
2023-01-03,Electronics,308.9,274.94
2023-01-04,Electronics,452.3,274.94
2022-12-06,Furniture,361.5,489.19
2022-12-07,Furniture,360.7,489.19
2022-12-08,Furniture,374.2,489.19
2022-12-09,Furniture,386.1,489.19
2022-12-10,Furniture,378.15,489.19
2022-12-11,Furniture,370.2000000000001,489.19
2022-12-12,Furniture,345.4,489.19
2022-12-13,Furniture,352.9,489.19
2022-12-14,Furniture,375.8,489.19
2022-12-15,Furniture,372.56666666666666,489.19
2022-12-16,Furniture,369.33333333333337,489.19
2022-12-17,Furniture,366.1,489.19
2022-12-18,Furniture,339.0,489.19
2022-12-19,Furniture,337.0,489.19
2022-12-20,Furniture,355.0,489.19
2022-12-21,Furniture,331.7,489.19
2022-12-22,Furniture,525.9,489.19
2022-12-23,Furniture,351.9,489.19
2022-12-24,Furniture,355.29999999999995,489.19
2022-12-25,Furniture,358.7,489.19
2022-12-26,Furniture,336.0,489.19
2022-12-27,Furniture,350.1,489.19
2022-12-28,Furniture,355.5,489.19
2022-12-29,Furniture,360.65,489.19
2022-12-30,Furniture,365.8,489.19
2022-12-31,Furniture,343.8,489.19
2023-01-01,Furniture,338.9,489.19
2023-01-02,Furniture,331.79999999999995,489.19
2023-01-03,Furniture,324.7,489.19
2023-01-04,Furniture,311.2,489.19
2022-12-06,Groceries,412.7,389.54
2022-12-07,Groceries,502.5,389.54
2022-12-08,Groceries,592.3,389.54
2022-12-09,Groceries,499.45,389.54
2022-12-10,Groceries,406.6,389.54
2022-12-11,Groceries,379.4,389.54
2022-12-12,Groceries,354.1,389.54
2022-12-13,Groceries,354.3,389.54
2022-12-14,Groceries,415.8,389.54
2022-12-15,Groceries,408.55,389.54
2022-12-16,Groceries,401.3,389.54
2022-12-17,Groceries,394.05,389.54
2022-12-18,Groceries,386.8,389.54
2022-12-19,Groceries,392.4666666666667,389.54
2022-12-20,Groceries,398.1333333333333,389.54
2022-12-21,Groceries,403.8,389.54
2022-12-22,Groceries,412.7,389.54
2022-12-23,Groceries,441.1,389.54
2022-12-24,Groceries,421.025,389.54
2022-12-25,Groceries,400.9500000000001,389.54
2022-12-26,Groceries,380.875,389.54
2022-12-27,Groceries,360.8,389.54
2022-12-28,Groceries,416.9,389.54
2022-12-29,Groceries,420.2,389.54
2022-12-30,Groceries,423.5,389.54
2022-12-31,Groceries,399.8,389.54
2023-01-01,Groceries,390.5,389.54
2023-01-02,Groceries,394.65,389.54
2023-01-03,Groceries,398.8,389.54
2023-01-04,Groceries,429.7,389.54
2022-12-06,Office Supplies,437.1,468.28
2022-12-07,Office Supplies,425.35,468.28
2022-12-08,Office Supplies,498.9,468.28
2022-12-09,Office Supplies,487.6333333333333,468.28
2022-12-10,Office Supplies,476.3666666666667,468.28
2022-12-11,Office Supplies,465.1,468.28
2022-12-12,Office Supplies,454.9,468.28
2022-12-13,Office Supplies,459.5,468.28
2022-12-14,Office Supplies,481.8,468.28
2022-12-15,Office Supplies,516.9,468.28
2022-12-16,Office Supplies,540.0,468.28
2022-12-17,Office Supplies,515.3,468.28
2022-12-18,Office Supplies,750.8,468.28
2022-12-19,Office Supplies,456.8,468.28
2022-12-20,Office Supplies,459.7,468.28
2022-12-21,Office Supplies,536.1,468.28
2022-12-22,Office Supplies,516.1,468.28
2022-12-23,Office Supplies,496.1,468.28
2022-12-24,Office Supplies,476.1,468.28
2022-12-25,Office Supplies,456.1,468.28
2022-12-26,Office Supplies,429.2,468.28
2022-12-27,Office Supplies,673.0,468.28
2022-12-28,Office Supplies,583.9,468.28
2022-12-29,Office Supplies,494.8,468.28
2022-12-30,Office Supplies,544.9,468.28
2022-12-31,Office Supplies,498.2,468.28
2023-01-01,Office Supplies,479.65,468.28
2023-01-02,Office Supplies,461.1,468.28
2023-01-03,Office Supplies,480.0,468.28
2023-01-04,Office Supplies,498.9,468.28
2022-12-06,Pet Supplies,351.8,378.3
2022-12-07,Pet Supplies,389.8,378.3
2022-12-08,Pet Supplies,395.7000000000001,378.3
2022-12-09,Pet Supplies,401.6,378.3
2022-12-10,Pet Supplies,386.33333333333337,378.3
2022-12-11,Pet Supplies,371.06666666666666,378.3
2022-12-12,Pet Supplies,355.8,378.3
2022-12-13,Pet Supplies,343.1,378.3
2022-12-14,Pet Supplies,370.2,378.3
2022-12-15,Pet Supplies,414.7,378.3
2022-12-16,Pet Supplies,422.0,378.3
2022-12-17,Pet Supplies,429.3,378.3
2022-12-18,Pet Supplies,377.4,378.3
2022-12-19,Pet Supplies,355.9,378.3
2022-12-20,Pet Supplies,359.8,378.3
2022-12-21,Pet Supplies,363.5,378.3
2022-12-22,Pet Supplies,391.65,378.3
2022-12-23,Pet Supplies,419.8,378.3
2022-12-24,Pet Supplies,400.75,378.3
2022-12-25,Pet Supplies,381.7,378.3
2022-12-26,Pet Supplies,389.65,378.3
2022-12-27,Pet Supplies,397.6,378.3
2022-12-28,Pet Supplies,405.55,378.3
2022-12-29,Pet Supplies,413.5,378.3
2022-12-30,Pet Supplies,415.25,378.3
2022-12-31,Pet Supplies,417.0,378.3
2023-01-01,Pet Supplies,389.1666666666667,378.3
2023-01-02,Pet Supplies,361.3333333333333,378.3
2023-01-03,Pet Supplies,333.5,378.3
2023-01-04,Pet Supplies,598.4,378.3
2022-12-06,Sporting Goods,595.0,600.37
2022-12-07,Sporting Goods,574.9,600.37
2022-12-08,Sporting Goods,554.8,600.37
2022-12-09,Sporting Goods,561.0,600.37
2022-12-10,Sporting Goods,567.2,600.37
2022-12-11,Sporting Goods,529.1,600.37
2022-12-12,Sporting Goods,497.1,600.37
2022-12-13,Sporting Goods,487.8,600.37
2022-12-14,Sporting Goods,523.1,600.37
2022-12-15,Sporting Goods,558.4,600.37
2022-12-16,Sporting Goods,517.6,600.37
2022-12-17,Sporting Goods,500.55,600.37
2022-12-18,Sporting Goods,483.5,600.37
2022-12-19,Sporting Goods,504.0,600.37
2022-12-20,Sporting Goods,545.5,600.37
2022-12-21,Sporting Goods,561.8,600.37
2022-12-22,Sporting Goods,561.5,600.37
2022-12-23,Sporting Goods,561.2,600.37
2022-12-24,Sporting Goods,552.6,600.37
2022-12-25,Sporting Goods,500.4,600.37
2022-12-26,Sporting Goods,520.2,600.37
2022-12-27,Sporting Goods,501.2,600.37
2022-12-28,Sporting Goods,537.25,600.37
2022-12-29,Sporting Goods,573.3,600.37
2022-12-30,Sporting Goods,590.4,600.37
2022-12-31,Sporting Goods,564.0,600.37
2023-01-01,Sporting Goods,537.6,600.37
2023-01-02,Sporting Goods,540.85,600.37
2023-01-03,Sporting Goods,544.1,600.37
2023-01-04,Sporting Goods,529.5,600.37
2023-01-03,Toys,294.8709677419355,311.68
2023-01-04,Toys,294.6064516129032,311.68
2023-01-05,Toys,294.34193548387094,311.68
2023-01-06,Toys,294.0774193548387,311.68
2023-01-07,Toys,293.81290322580645,311.68
2023-01-08,Toys,293.5483870967741,311.68
2023-01-09,Toys,293.2838709677419,311.68
2023-01-10,Toys,293.01935483870966,311.68
2023-01-11,Toys,292.7548387096774,311.68
2023-01-12,Toys,292.4903225806452,311.68
2023-01-13,Toys,292.22580645161287,311.68
2023-01-14,Toys,291.9612903225806,311.68
2023-01-15,Toys,291.6967741935484,311.68
2023-01-16,Toys,291.43225806451613,311.68
2023-01-17,Toys,291.16774193548383,311.68
2023-01-18,Toys,290.9032258064516,311.68
2023-01-19,Toys,290.63870967741934,311.68
2023-01-20,Toys,290.3741935483871,311.68
2023-01-21,Toys,290.1096774193548,311.68
2023-01-22,Toys,289.8451612903225,311.68
2023-01-23,Toys,289.5806451612903,311.68
2023-01-24,Toys,289.31612903225806,311.68
2023-01-25,Toys,289.0516129032258,311.68
2023-01-26,Toys,288.7870967741935,311.68
2023-01-27,Toys,288.52258064516127,311.68
2023-01-28,Toys,288.258064516129,311.68
2023-01-29,Toys,287.9935483870968,311.68
2023-01-30,Toys,287.7290322580645,311.68
2023-01-31,Toys,287.46451612903223,311.68
2023-02-01,Toys,287.2,311.68
