order_date,category,units_sold,inventory_on_hand,unit_price,injected_anomaly
2023-07-11,Clothing,374,909,39.17,
2023-07-12,Clothing,367,629,39.09,
2023-07-13,Clothing,330,865,38.74,
2023-07-14,Clothing,236,366,39.15,
2023-07-15,Clothing,272,457,40.35,
2023-07-16,Clothing,284,606,41.55,
2023-07-17,Clothing,273,706,39.72,
2023-07-18,Clothing,314,506,41.56,
2023-07-19,Clothing,361,1079,41.44,
2023-07-20,Clothing,315,932,38.23,
2023-07-21,Clothing,276,572,41.7,
2023-07-22,Clothing,265,784,41.51,
2023-07-23,Clothing,226,554,41.85,
2023-07-24,Clothing,259,607,41.8,
2023-07-25,Clothing,344,673,38.96,
2023-07-26,Clothing,334,561,39.61,
2023-07-27,Clothing,312,713,40.04,
2023-07-28,Clothing,241,388,41.04,
2023-07-29,Clothing,264,567,38.2,
2023-07-30,Clothing,286,474,38.25,
2023-07-31,Clothing,258,640,38.3,
2023-08-01,Clothing,315,570,39.36,
2023-08-02,Clothing,329,893,40.42,
2023-08-03,Clothing,283,737,39.86,
2023-08-04,Clothing,237,582,39.29,
2023-08-05,Clothing,214,426,41.19,
2023-08-06,Clothing,262,732,41.66,
2023-08-07,Clothing,271,766,38.12,
2023-08-08,Clothing,276,779,40.91,
2023-08-09,Clothing,282,622,41.04,
2023-08-10,Clothing,288,466,41.16,
2023-08-11,Clothing,331,726,39.46,
2023-08-12,Clothing,292,669,39.03,
2023-08-13,Clothing,254,612,38.6,
2023-08-14,Clothing,249,460,41.06,
2023-08-15,Clothing,287,519,40.45,
2023-08-16,Clothing,299,597,41.08,
2023-08-17,Clothing,275,555,39.69,
2023-08-18,Clothing,226,631,39.1,
2023-08-19,Clothing,193,313,40.89,
2023-08-20,Clothing,259,401,38.45,
2023-08-21,Clothing,225,514,41.8,
2023-08-22,Clothing,301,726,41.06,
2023-08-23,Clothing,295,653,39.33,
2023-08-24,Clothing,273,510,41.29,
2023-08-25,Clothing,201,493,38.38,
2023-08-26,Clothing,234,484,41.78,
2023-08-27,Clothing,207,539,41.77,
2023-08-28,Clothing,232,389,41.1,
2023-08-29,Clothing,254,623,39.89,
2023-08-30,Clothing,278,635,38.9,
2023-08-31,Clothing,291,685,40.32,
2023-09-01,Clothing,253,620,40.1,
2023-09-02,Clothing,215,556,39.87,
2023-09-03,Clothing,239,498,40.17,
2023-09-04,Clothing,263,441,40.48,
2023-09-05,Clothing,287,848,40.02,
2023-09-06,Clothing,261,704,40.53,
2023-09-07,Clothing,234,561,41.05,
2023-09-08,Clothing,208,417,41.56,
2023-09-09,Clothing,206,504,41.43,
2023-09-10,Clothing,206,471,41.08,
2023-09-11,Clothing,215,536,38.41,
2023-09-12,Clothing,272,595,41.95,
2023-09-13,Clothing,288,546,40.85,
2023-09-14,Clothing,245,498,41.82,
2023-09-15,Clothing,197,455,40.69,
2023-09-16,Clothing,195,319,39.02,
2023-09-17,Clothing,204,444,38.46,
2023-09-18,Clothing,211,486,38.18,
2023-09-19,Clothing,233,560,39.1,
2023-09-20,Clothing,281,635,41.89,
2023-09-21,Clothing,252,733,40.57,
2023-09-22,Clothing,186,380,39.84,
2023-09-23,Clothing,186,540,39.42,
2023-09-24,Clothing,215,541,41.66,
2023-09-25,Clothing,229,668,40.87,
2023-09-26,Clothing,271,693,39.97,
2023-09-27,Clothing,273,658,41.83,
2023-09-28,Clothing,239,427,40.42,
2023-09-29,Clothing,194,474,41.87,
2023-09-30,Clothing,226,441,40.34,
2023-10-01,Clothing,258,408,38.81,
2023-10-02,Clothing,290,673,40.4,
2023-10-03,Clothing,258,469,40.13,
2023-10-04,Clothing,272,476,39.96,
2023-10-05,Clothing,242,442,39.5,
2023-10-06,Clothing,194,409,41.84,
2023-10-07,Clothing,248,644,40.78,
2023-10-08,Clothing,216,570,38.34,
2023-10-09,Clothing,233,365,38.72,
2023-10-10,Clothing,273,414,38.23,
2023-10-11,Clothing,299,512,41.98,
2023-10-12,Clothing,312,742,41.04,
2023-10-13,Clothing,187,295,39.7,
2023-10-14,Clothing,185,323,38.96,
2023-10-15,Clothing,224,351,39.9,
2023-10-16,Clothing,263,379,40.84,
2023-10-17,Clothing,302,880,41.57,
2023-10-18,Clothing,305,671,40.58,
2023-10-19,Clothing,279,441,39.85,
2023-10-20,Clothing,189,310,39.53,
2023-10-21,Clothing,219,655,38.2,
2023-10-22,Clothing,226,505,41.58,
2023-10-23,Clothing,233,512,41.93,
2023-10-24,Clothing,277,519,38.36,
2023-10-25,Clothing,278,455,40.6,
2023-10-26,Clothing,237,391,41.72,
2023-10-27,Clothing,216,524,39.92,
2023-10-28,Clothing,229,565,41.91,
2023-10-29,Clothing,223,606,39.61,
2023-10-30,Clothing,240,427,40.55,
2023-10-31,Clothing,283,625,41.04,
2023-11-01,Clothing,310,590,40.96,
2023-11-02,Clothing,338,554,40.89,
2023-11-03,Clothing,335,890,40.61,
2023-11-04,Clothing,338,722,39.63,
2023-11-05,Clothing,341,554,38.65,
2023-11-06,Clothing,320,699,41.63,
2023-11-07,Clothing,353,865,40.57,
2023-11-08,Clothing,386,984,39.94,
2023-11-09,Clothing,419,1104,39.3,
2023-11-10,Clothing,282,595,41.48,
2023-11-11,Clothing,340,618,41.8,
2023-11-12,Clothing,325,495,41.97,
2023-11-13,Clothing,374,818,39.58,
2023-11-14,Clothing,422,1159,41.52,
2023-11-15,Clothing,488,1370,41.79,
2023-11-16,Clothing,90,255,38.65,drop
2023-11-17,Clothing,312,744,41.3,
2023-11-18,Clothing,333,732,40.69,
2023-11-19,Clothing,354,824,38.25,
2023-11-20,Clothing,346,546,39.07,
2023-11-21,Clothing,417,733,41.77,
2023-11-22,Clothing,391,714,38.68,
2023-11-23,Clothing,422,974,39.11,
2023-11-24,Clothing,336,648,40.07,
2023-11-25,Clothing,361,637,38.71,
2023-11-26,Clothing,335,796,40.55,
2023-11-27,Clothing,367,626,41.79,
2023-11-28,Clothing,448,1271,38.64,
2023-11-29,Clothing,528,1145,40.88,
2023-11-30,Clothing,404,907,38.06,
2023-12-01,Clothing,372,1066,39.61,
2023-12-02,Clothing,366,634,40.15,
2023-12-03,Clothing,350,736,39.69,
2023-12-04,Clothing,380,722,39.37,
2023-12-05,Clothing,410,708,39.06,
2023-12-06,Clothing,433,1062,41.4,
2023-12-07,Clothing,384,885,41.25,
2023-12-08,Clothing,335,708,41.1,
2023-12-09,Clothing,365,865,38.96,
2023-12-10,Clothing,392,826,40.42,
2023-12-11,Clothing,420,786,41.89,
2023-12-12,Clothing,481,1140,38.71,
2023-12-13,Clothing,536,899,38.6,
2023-12-14,Clothing,388,667,38.43,
2023-12-15,Clothing,372,622,39.08,
2023-12-16,Clothing,355,578,39.74,
2023-12-17,Clothing,378,809,41.95,
2023-12-18,Clothing,445,822,41.23,
2023-12-19,Clothing,31,60,39.48,drop
2023-12-20,Clothing,517,950,39.12,
2023-12-21,Clothing,481,1050,41.84,
2023-12-22,Clothing,354,820,38.52,
2023-12-23,Clothing,391,591,38.25,
2023-12-24,Clothing,429,812,38.35,
2023-12-25,Clothing,467,1032,38.45,
2023-12-26,Clothing,438,1040,41.18,
2023-12-27,Clothing,532,1049,41.67,
2023-12-28,Clothing,465,896,39.21,
2023-12-29,Clothing,398,672,41.55,
2023-12-30,Clothing,391,147,39.53,drop
2023-12-31,Clothing,384,1033,40.89,
2024-01-01,Clothing,321,482,38.7,
2024-01-02,Clothing,396,829,38.0,
2024-01-03,Clothing,386,1105,39.83,
2024-01-04,Clothing,400,1192,41.07,
2024-01-05,Clothing,293,778,41.6,
2024-01-06,Clothing,310,752,40.53,
2024-01-07,Clothing,326,725,39.47,
2024-01-08,Clothing,331,762,39.38,
2024-01-09,Clothing,336,798,39.28,
2024-01-10,Clothing,342,835,39.19,
2024-01-11,Clothing,370,594,40.25,
2024-01-12,Clothing,318,508,40.8,
2024-01-13,Clothing,330,536,41.18,
2024-01-14,Clothing,342,563,41.55,
2024-01-15,Clothing,354,670,41.59,
2024-01-16,Clothing,452,883,41.4,
2024-01-17,Clothing,413,864,38.88,
2024-01-18,Clothing,381,605,38.9,
2024-01-19,Clothing,338,803,41.07,
2024-01-20,Clothing,337,665,38.15,
2024-01-21,Clothing,339,561,38.49,
2024-01-22,Clothing,343,841,38.83,
2024-01-23,Clothing,404,665,38.81,
2024-01-24,Clothing,413,1101,41.83,
2024-01-25,Clothing,375,994,38.66,
2024-01-26,Clothing,337,967,40.99,
2024-01-27,Clothing,351,791,38.43,
2024-01-28,Clothing,341,514,41.12,
2024-01-29,Clothing,387,751,41.1,
2024-01-30,Clothing,433,988,41.07,
2024-01-31,Clothing,424,981,41.64,
2024-02-01,Clothing,382,975,40.42,
2024-02-02,Clothing,340,968,39.2,
2024-02-03,Clothing,329,926,39.61,
2024-02-04,Clothing,392,885,41.55,
2024-02-05,Clothing,422,1026,39.71,
2024-02-06,Clothing,420,677,38.54,
2024-02-07,Clothing,441,955,39.06,
2024-02-08,Clothing,405,1087,39.97,
2024-02-09,Clothing,373,1019,40.24,
2024-02-10,Clothing,341,951,40.5,
2024-02-11,Clothing,356,585,40.86,
2024-02-12,Clothing,396,943,40.93,
2024-02-13,Clothing,469,772,38.96,
2024-02-14,Clothing,481,917,38.32,
2024-02-15,Clothing,405,898,38.92,
2024-02-16,Clothing,329,878,39.51,
2024-02-17,Clothing,349,859,39.31,
2024-02-18,Clothing,370,1159,39.54,
2024-02-19,Clothing,390,595,38.55,
2024-02-20,Clothing,451,766,38.8,
2024-02-21,Clothing,512,936,39.05,
2024-02-22,Clothing,465,1370,39.23,
2024-02-23,Clothing,342,652,38.83,
2024-02-24,Clothing,373,1033,41.26,
2024-02-25,Clothing,409,836,39.54,
2024-02-26,Clothing,380,639,38.78,
2024-02-27,Clothing,395,823,38.98,
2024-02-28,Clothing,411,1007,39.18,
2024-02-29,Clothing,426,847,41.27,
2024-03-01,Clothing,344,775,38.48,
2024-03-02,Clothing,323,659,38.49,
2024-03-03,Clothing,420,793,41.37,
2024-03-04,Clothing,538,1251,40.2,
2024-03-05,Clothing,502,1324,38.71,
2024-03-06,Clothing,369,609,39.23,
2024-03-07,Clothing,440,1198,40.47,
2024-03-08,Clothing,354,1045,39.07,
2024-03-09,Clothing,372,2755,38.09,
2024-03-10,Clothing,2007,4465,38.16,spike
2024-03-11,Clothing,434,1143,40.12,
2024-03-12,Clothing,519,995,38.72,
2024-03-13,Clothing,510,1466,38.78,
2024-03-14,Clothing,462,1298,41.08,
2024-03-15,Clothing,397,982,41.41,
2024-03-16,Clothing,380,1009,40.8,
2024-03-17,Clothing,362,1036,40.18,
2024-03-18,Clothing,413,861,38.74,
2024-03-19,Clothing,517,1533,38.67,
2024-03-20,Clothing,478,1164,38.61,
2024-03-21,Clothing,439,737,38.22,
2024-03-22,Clothing,387,759,39.4,
2024-03-23,Clothing,380,891,38.51,
2024-03-24,Clothing,376,826,39.59,
2024-03-25,Clothing,455,1146,40.17,
2024-03-26,Clothing,534,1120,40.38,
2024-03-27,Clothing,542,1093,40.17,
2024-03-28,Clothing,508,1225,39.34,
2024-03-29,Clothing,446,1017,40.13,
2024-03-30,Clothing,384,809,40.91,
2024-03-31,Clothing,381,599,41.7,
2024-04-01,Clothing,436,804,40.58,
2024-04-02,Clothing,492,1008,39.45,
2024-04-03,Clothing,461,880,39.67,
2024-04-04,Clothing,430,752,39.88,
2024-04-05,Clothing,367,921,38.73,
2024-04-06,Clothing,384,718,39.61,
2024-04-07,Clothing,396,687,40.18,
2024-04-08,Clothing,413,975,39.47,
2024-04-09,Clothing,562,1239,39.09,
2024-04-10,Clothing,499,820,40.44,
2024-04-11,Clothing,436,886,39.51,
2024-04-12,Clothing,381,992,39.43,
2024-04-13,Clothing,399,1085,41.04,
2024-04-14,Clothing,397,1036,40.36,
2024-04-15,Clothing,436,988,39.65,
2024-04-16,Clothing,481,1311,41.1,
2024-04-17,Clothing,457,913,39.46,
2024-04-18,Clothing,435,831,39.91,
2024-04-19,Clothing,415,1237,40.89,
2024-04-20,Clothing,388,632,41.42,
2024-04-21,Clothing,361,821,38.2,
2024-04-22,Clothing,404,1197,40.76,
2024-04-23,Clothing,478,1408,39.61,
2024-04-24,Clothing,552,1619,38.46,
2024-04-25,Clothing,466,809,41.14,
2024-04-26,Clothing,352,680,40.18,
2024-04-27,Clothing,347,669,41.12,
2024-04-28,Clothing,420,883,40.86,
2024-04-29,Clothing,404,1210,40.98,
2024-04-30,Clothing,491,805,38.52,
2024-05-01,Clothing,550,1436,41.56,
2024-05-02,Clothing,510,1202,40.23,
2024-05-03,Clothing,471,969,38.9,
2024-05-04,Clothing,432,804,39.47,
2024-05-05,Clothing,392,638,40.03,
2024-05-06,Clothing,389,829,38.95,
2024-05-07,Clothing,388,842,40.86,
2024-05-08,Clothing,378,820,40.42,
2024-05-09,Clothing,368,797,39.98,
2024-05-10,Clothing,358,774,39.54,
2024-05-11,Clothing,372,877,41.52,
2024-05-12,Clothing,360,767,39.52,
2024-05-13,Clothing,413,1142,41.76,
2024-05-14,Clothing,454,1128,41.36,
2024-05-15,Clothing,495,1114,40.95,
2024-05-16,Clothing,397,1127,39.35,
2024-05-17,Clothing,314,784,38.63,
2024-05-18,Clothing,358,973,38.88,
2024-05-19,Clothing,343,614,40.69,
2024-05-20,Clothing,397,728,38.04,
2024-05-21,Clothing,438,843,41.32,
2024-05-22,Clothing,438,1254,39.52,
2024-05-23,Clothing,402,1072,41.57,
2024-05-24,Clothing,331,675,38.34,
2024-05-25,Clothing,364,606,41.78,
2024-05-26,Clothing,340,847,40.39,
2024-05-27,Clothing,388,620,39.51,
2024-05-28,Clothing,447,909,41.04,
2024-05-29,Clothing,468,1340,40.38,
2024-05-30,Clothing,416,908,38.12,
2024-05-31,Clothing,351,592,40.7,
2024-06-01,Clothing,303,813,39.33,
2024-06-02,Clothing,350,806,38.78,
2024-06-03,Clothing,399,799,39.3,
2024-06-04,Clothing,448,792,39.83,
2024-06-05,Clothing,470,823,38.55,
2024-06-06,Clothing,407,1077,40.3,
2024-06-07,Clothing,300,612,39.42,
2024-06-08,Clothing,358,648,41.28,
2024-06-09,Clothing,386,1009,39.28,
2024-06-10,Clothing,359,1019,39.3,
2024-06-11,Clothing,416,629,40.39,
2024-06-12,Clothing,401,643,39.85,
2024-06-13,Clothing,386,657,39.31,
2024-06-14,Clothing,339,803,39.82,
2024-06-15,Clothing,330,632,41.03,
2024-06-16,Clothing,290,771,41.39,
2024-06-17,Clothing,357,774,39.11,
2024-06-18,Clothing,431,775,38.34,
2024-06-19,Clothing,445,877,38.31,
2024-06-20,Clothing,403,981,39.68,
2024-06-21,Clothing,302,516,40.05,
2024-06-22,Clothing,299,564,39.53,
2024-06-23,Clothing,361,775,40.99,
2024-06-24,Clothing,338,991,40.09,
2024-06-25,Clothing,380,774,39.19,
2024-06-26,Clothing,433,683,40.65,
2024-06-27,Clothing,363,591,40.64,
2024-06-28,Clothing,313,500,40.53,
2024-06-29,Clothing,298,792,40.39,
2024-06-30,Clothing,309,754,38.24,
2024-07-01,Clothing,303,610,40.96,
2024-07-02,Clothing,345,712,39.78,
2024-07-03,Clothing,387,813,38.61,
2024-07-04,Clothing,386,642,40.28,
2024-07-05,Clothing,384,716,40.67,
2024-07-06,Clothing,383,791,41.05,
2024-07-07,Clothing,382,865,41.44,
2024-07-08,Clothing,380,887,40.99,
2024-07-09,Clothing,379,909,40.54,
2024-07-10,Clothing,323,594,40.86,
2024-07-11,Clothing,288,652,40.15,
2024-07-12,Clothing,252,711,39.44,
2024-07-13,Clothing,287,751,41.02,
2024-07-14,Clothing,307,845,38.12,
2024-07-15,Clothing,315,907,41.8,
2024-07-16,Clothing,334,832,41.11,
2024-07-17,Clothing,317,816,40.43,
2024-07-18,Clothing,300,509,40.4,
2024-07-19,Clothing,260,394,38.25,
2024-07-20,Clothing,243,423,40.14,
2024-07-21,Clothing,280,729,39.76,
2024-07-22,Clothing,270,737,39.3,
2024-07-23,Clothing,337,790,40.24,
2024-07-24,Clothing,404,843,41.18,
2024-07-25,Clothing,334,720,38.38,
2024-07-26,Clothing,263,774,38.88,
2024-07-27,Clothing,272,731,38.95,
2024-07-28,Clothing,254,802,39.15,
2024-07-29,Clothing,305,873,39.34,
2024-07-30,Clothing,330,584,41.04,
2024-07-31,Clothing,355,837,39.09,
2024-08-01,Clothing,320,736,40.94,
2024-08-02,Clothing,230,412,38.8,
2024-08-03,Clothing,242,625,40.86,
2024-08-04,Clothing,249,643,39.54,
2024-08-05,Clothing,388,1071,38.38,
2024-08-06,Clothing,333,910,38.48,
2024-08-07,Clothing,330,808,40.11,
2024-08-08,Clothing,293,699,41.8,
2024-08-09,Clothing,277,538,40.38,
2024-08-10,Clothing,262,378,38.95,
2024-08-11,Clothing,246,520,39.25,
2024-08-12,Clothing,283,682,39.56,
2024-08-13,Clothing,320,844,39.86,
2024-08-14,Clothing,308,882,39.3,
2024-08-15,Clothing,318,641,40.61,
2024-08-16,Clothing,236,658,39.26,
2024-08-17,Clothing,233,363,38.44,
2024-08-18,Clothing,244,544,40.15,
2024-08-19,Clothing,279,801,39.52,
2024-08-20,Clothing,334,991,38.66,
2024-08-21,Clothing,343,778,39.35,
2024-08-22,Clothing,265,399,40.05,
2024-08-23,Clothing,209,597,41.15,
2024-08-24,Clothing,1026,2069,41.06,spike
2024-08-25,Clothing,222,606,38.3,
2024-08-26,Clothing,235,677,40.72,
2024-08-27,Clothing,259,448,39.11,
2024-08-28,Clothing,260,446,38.7,
2024-08-29,Clothing,261,443,38.3,
2024-08-30,Clothing,210,364,38.96,
2024-08-31,Clothing,240,703,40.81,
2024-09-01,Clothing,303,625,39.82,
2024-09-02,Clothing,318,641,38.99,
2024-09-03,Clothing,319,492,38.46,
2024-09-04,Clothing,289,708,39.76,
2024-09-05,Clothing,326,1199,38.75,
2024-09-06,Clothing,204,439,38.69,
2024-09-07,Clothing,225,356,39.19,
2024-09-08,Clothing,225,624,40.3,
2024-09-09,Clothing,241,423,39.86,
2024-09-10,Clothing,251,442,38.91,
2024-09-11,Clothing,262,564,40.26,
2024-09-12,Clothing,272,687,41.62,
2024-09-13,Clothing,173,500,41.45,
2024-09-14,Clothing,219,378,41.98,
2024-09-15,Clothing,221,352,40.3,
2024-09-16,Clothing,227,561,39.43,
2024-09-17,Clothing,270,730,40.68,
2024-09-18,Clothing,267,587,40.97,
2024-09-19,Clothing,246,643,38.04,
2024-09-20,Clothing,217,641,39.7,
2024-09-21,Clothing,212,621,38.98,
2024-09-22,Clothing,223,601,38.81,
2024-09-23,Clothing,215,415,40.99,
2024-09-24,Clothing,271,647,40.68,
2024-09-25,Clothing,252,596,40.16,
2024-09-26,Clothing,234,544,39.63,
2024-09-27,Clothing,191,452,40.68,
2024-09-28,Clothing,175,303,39.79,
2024-09-29,Clothing,216,504,40.74,
2024-09-30,Clothing,239,557,40.73,
2024-10-01,Clothing,266,694,40.02,
2024-10-02,Clothing,292,831,39.31,
2024-10-03,Clothing,246,644,39.66,
2024-10-04,Clothing,200,456,40.0,
2024-10-05,Clothing,207,616,39.76,
2024-10-06,Clothing,219,523,40.44,
2024-10-07,Clothing,248,504,40.33,
2024-10-08,Clothing,278,485,40.21,
2024-10-09,Clothing,291,782,39.0,
2024-10-10,Clothing,263,559,40.42,
2024-10-11,Clothing,216,336,40.69,
2024-10-12,Clothing,188,547,39.99,
2024-10-13,Clothing,241,506,41.5,
2024-10-14,Clothing,261,525,40.53,
2024-10-15,Clothing,281,544,39.57,
2024-10-16,Clothing,265,670,39.84,
2024-10-17,Clothing,249,795,40.1,
2024-10-18,Clothing,233,658,41.2,
2024-10-19,Clothing,224,520,40.63,
