order_date,category,units_sold,inventory_on_hand,unit_price,_injected_anomaly
01-09-2024,CLOTHING,363,598,39.96,
"Jun 01, 2025",furniture,126, ,400.65,
"Feb 07, 2025",Furniture,119,242,$400.82,
29-11-2024, groceries ,535,1235,$8.74,
02/18/2025,Toyz,248,429,24.07,
15-03-2025,Toys,186,490,24.13,
06/26/2023,Electronics,250,516,261.59,
08/19/2023,Grocery,390,616,"8,66",
05-06-2024,Toyz,186,480,$25.24,
2025.02.15, groceries ,634, ,$8.38,
"Aug 26, 2023",GROCERIES ,369,1098,$8.90,
02-May-24,electronics,391,800,$256.95,
"Nov 04, 2024",toys,204,551,$25.53,
2023.09.13, furniture,88,233,$400.53,
18-Oct-23, Toys ,128,265,$24.63,
10-Mar-24,Furnitature,119,269,388.48,
22-01-2024,GROCERIES ,590,1691,"8,55",
"Nov 14, 2023",electronics,361,872,246.02,
22-Aug-24, Toys ,134,343,$25.32,
31-08-2023,CLOTHING,291,685,$40.32,
17-02-2025,ELECTRONICS,347,762,256.01,
01-05-2023,TOYS,173,487,25,
16-Oct-23,Grocery,360,677,$8.26,
02/21/2025,FURNITURE ,149,322,$390.94,
01-May-25,Electronics,469,774,257.57,
2025.01.06,electronics,316,825,$239.62,
09/20/2023,Cloting,281,635,$41.89,
03/19/2025, Clothing,563,1271,39.58,
2024.08.31,clothing,240,703,40.81,
30-05-2025,TOYS,182,505,$25.10,
12/13/2023,CLOTHING,536,899,38.6,
"May 19, 2024",GROCERIES ,592,1286,8.46,
15-Sep-24,Cloting,221,352,40.3,
01-01-2025,Toys,229,541,24.63,
04-May-23,groceries,-707,1267,8.51,
07-May-24,electronics,403,1134,$237.72,
2023.03.21, Electronics ,334,957,$247.68,
11/18/2024, Clothing,369,1060,41.45,
"Mar 05, 2025",Toys,262,651,$24.23,
12-Mar-25, Electronics ,457,828,$240.24,
10-09-2024, Toys ,151,274,25.83,
02/14/2024,TOYS,235,457,25.09,
"May 30, 2025",Groceries,534,,8.4,
"Jan 09, 2023",Toyz,134,227,24.86,
01-05-2024,FURNITURE ,168,495,386.45,
21-Jul-24,Cloting,280,729,$39.76,
07-03-2023,toys,152,333,25.74,
2023.05.23, Electronics ,345,578,260.05,
03-May-24, Toys ,188,315,null,
05/22/2024,Furniture,147,246,417.13,
06-12-2024,Cloting,403,626,$38.64,
2023.07.19,clothing,361,1079,$41.44,
03-01-2023,Groceries,559,1040,8.55,
10/26/2024, Electronics ,195,496,242.13,
"Jun 28, 2023",CLOTHING,402,780,"38,84",
07/19/2024,Furnitature,85,210,404.61,
2024.10.05,CLOTHING,207,616,"39,76",
05/26/2023,Toys,139,316,?,
2024.06.13,Furnitature,135,254,$380.54,
2024.09.12,electronics,231,391,239.97,
2024.10.08, Electronics ,238,362,$254.30,
2024.06.14,Toys,143,420,26.03,
16-10-2023,CLOTHING,na,379,"40,84",
2024.04.16, Toys ,260,746,26.17,
"Aug 10, 2023", Electronics ,208,375,261.03,
2023.02.09,GROCERIES ,690,1430,8.8,
"Oct 24, 2024",Cloting,240,380,na,
2024.02.09,Grocery,569,1615,$8.59,
11-03-2023, groceries ,580,1274,8.17,
2025.01.05, Electronics ,313,521,245.62,
"Aug 25, 2023",GROCERIES ,353,753,8.57,
07-08-2024, groceries ,492,900,$8.43,
04/20/2023,toys,-198,342,26.19,
04-09-2023, furniture,119,NULL,408.56,
24-10-2023,Grocery,497,na,8.1,
12/14/2023,Clothing,388,667,$38.43,
"Dec 27, 2024",CLOTHING,397,817,41.39,
2024.01.21,CLOTHING,339,561,?,
2024.09.07,Grocery, ,993,8.74,
04-04-2024,TOYS,234,533,$24.43,
23-Jun-25,Groceries,525,811,"8,60",
"Jan 21, 2024", furniture,100,203,"402,50",
"Mar 18, 2024",FURNITURE ,129,282,389.52,
2023.10.09, Toys ,-105,215,25.06,
15-04-2024,Toyz,197,305,24.02,
01-Jul-23,GROCERIES ,455, ,$8.59,
19-Mar-25,FURNITURE ,171,496,$380.35,
2024.09.08,Clothing,225,597,39.25,
05/21/2023, Electronics ,253,416,"246,68",
02/21/2025,Toys,187,417,24.29,
2025.01.12,groceries,502,1458,8.28,
2025.06.20,CLOTHING,-354,970,39.49,
21-04-2024,Groceries,647,1171,8.14,
2023.09.04,Clothing,-227,441,"40,48",
20-Feb-25,Grocery,637,1803,8.49,
22-09-2024,Groceries,null,564,$8.63,
11-09-2024,Electronics,267,N/A,$259.43,
10/30/2024,groceries,470,953,$8.79,
22-03-2023,Electroncs,369,654,257.48,
"May 10, 2023",Clothing,524,899,39.59,
03-Jan-25,Electroncs,251,517,242.01,
01-09-2023,Furnitature, ,232,$382.78,
01/25/2024, furniture,137,na,$382.90,
05-Feb-23,Toyz,184,476,25.31,
08-May-25, groceries ,null,1575,8.51,
2024.01.28,Toyz,183,532,24.56,
25-Jul-23,Toys,156,428,25.11,
17-04-2024, furniture,175,301,396.57,
18-Sep-23,Groceries,377,861,$8.22,
"Jun 29, 2025",TOYS,157,299,24.76,
10-Mar-23,Grocery,616,?,8.8,
20-May-23,Electroncs,272,na,$240.54,
08-Jun-25,TOYS,189,,24.5,
"Jun 03, 2023",Electroncs,249,649,254.29,
"Aug 13, 2024", groceries ,2239,6356,8.37,spike
03-Dec-23,Cloting,350,736,$39.69,
2024.08.12,Toys,703,1550,25.79,spike
01-Sep-24, groceries ,379,914,8.32,
2024.05.10, groceries ,582,1009,8.8,
03/27/2023,CLOTHING,359,860,$41.77,
2024.08.20,furniture,111,257,384.85,
2025.05.26,electronics,365,1053,241.75,
"Nov 27, 2023",Toyz,182,461,24.86,
28-Sep-23,Electronics,189,529,241.22,
20-03-2023, Toys ,176,283,$25.41,
13-Dec-23,ELECTRONICS,386,825,243.55,
28-Oct-23,Electronics,167,374,$262.39,
2025.04.14, Electronics ,390,647,240.57,
30-Nov-24,Toys,208,376,25.13,
2023.01.24, Electronics ,303,496,$250.75,
"Mar 26, 2023",Electronics,293,593,$257.61,
10-02-2024,ELECTRONICS,262,446,258.92,
26-05-2025,Groceries,644,1226,8.53,
31-07-2024,CLOTHING,355,837,$39.09,
08-Jul-23,FURNITURE ,82,214,"408,90",
09-Dec-24,electronics,328,667,"250,54",
12/31/2023,furniture,122,204,411.02,
30-06-2023,toys,148,380,$24.32,
05/19/2025,Furniture,133,366,$404.55,
2024.02.21,Clothing,512,936,$39.05,
"Jun 27, 2024",FURNITURE ,110,248,"399,68",
"Sep 09, 2024",Grocery,419,1064,"8,65",
2023.08.16,Electroncs,231,667,"244,35",
05-04-2025,ELECTRONICS,335,911,"256,22",
29-01-2023,clothing,297,574,39.19,
"Nov 13, 2023",Electroncs,279,740,259.67,
"Dec 11, 2024",Electronics,441,na,242.87,
08-08-2023,Electroncs,247,539,$245.50,
02/21/2024,Electroncs,409,1223,$251.49,
"Jun 05, 2023",Cloting,333,572,39.87,
01-Mar-25,TOYS,178,NULL,24.11,
2023.04.23,FURNITURE ,118,218,406.32,
2024.03.26,Furniture,149,NULL,381.53,
11/15/2023,Electroncs,374,,239.52,
14-Dec-24, groceries ,646,1663,$8.64,
23-May-25,clothing,403,1122,$38.13,
17-10-2024,FURNITURE ,92,165,$388.47,
2023.08.22,toys,138,378,23.79,
06-Jan-23,Toys,-127,207,24.76,
"Apr 09, 2023", groceries ,766,1951,$8.08,
02-10-2023,groceries,380,796,$8.20,
18-Feb-24,Furnitature,122,184,410.78,
2024.10.12, Electronics ,191,464,null,
08-Jan-25, furniture,138,257,"395,57",
09-Nov-24, Toys ,177,402,25.96,
"Dec 14, 2023",electronics,380,844,$249.85,
"Jan 04, 2023", Clothing,388,659,41.73,
"May 28, 2023",TOYS,162,423,$23.71,
2024.06.29,CLOTHING,298,792,$40.39,
"Sep 01, 2023",FURNITURE ,73,164,"391,82",
08-Nov-24, Clothing,349,1022,$38.83,
"Apr 12, 2025",Toys,204,475,$24.28,
18-03-2024,Clothing,413,861,$38.74,
2023.05.16,Furniture,146,315,$391.71,
"Nov 11, 2024",FURNITURE ,130,315,399.13,
2025.01.29,toys,252,662,$24.46,
29-05-2023, Clothing,361,891,41.45,
09-11-2024,toys,143,420,$25.31,
07/28/2023,FURNITURE ,79,212,383.26,
11-06-2024, furniture,159,339,385.9,
05-04-2024,TOYS,174,356,$24.30,
"Oct 29, 2024",Furniture,90,160,$398.60,
2023.04.16,Furniture,114,264,$392.42,
22-Oct-24,Toyz,142,323,,
01-06-2025,GROCERIES ,625,1838,8.54,
09-Jul-23,Grocery,499,1456,8.07,
04-10-2023,Grocery,685,1598,8.3,
2023.12.27,Furniture,170,435,$396.81,
03/20/2025, furniture,159,434,407.32,
2024.05.29,toys,227,430,"25,08",
2023.03.02,Electroncs,302,517,261.2,
"Jun 06, 2024",furniture,125,232,380.18,
"May 25, 2025",FURNITURE ,131,241,416.93,
"Jul 25, 2023",Cloting,344,673,38.96,
10-11-2024,electronics,333,599,247.29,
31-10-2023, Clothing,283,625,"41,04",
29-Jul-23,Groceries,436,1224,$8.20,
15-08-2024,FURNITURE ,91,174,412.96,
2023.03.16,Cloting,426,1167,41.26,
01-04-2024, groceries ,697,1583,8.17,
"Dec 14, 2023",toys,232,409,24.02,
"Sep 22, 2023",GROCERIES ,315,866,$8.72,
"Jan 11, 2025",furniture,19,NULL,"409,95",drop
"Mar 05, 2024",Furnitature,147,298,408.12,
24-May-23,clothing,423,646,41.51,
2024.09.01,Furniture,66,157,$397.00,
"Mar 09, 2025", groceries ,660,1637,$8.60,
02-02-2024, Toys ,161,459,$23.84,
2025.05.24, groceries ,621,1498,"8,57",
2025.04.21,Toyz,209,418,$26.08,
12-06-2023,Toys,166,326,23.83,
15-09-2024, Toys ,104,270,24.85,
05-12-2024,Grocery,646,1658,8.22,
2023.11.09,Clothing,419,1104,39.3,
14-Sep-24,furniture,73,120,415.8,
"Nov 24, 2023",CLOTHING,336,648,40.07,
10-11-2024,FURNITURE ,107,281,$391.80,
27-Aug-23, Clothing,207,539,41.77,
12/23/2024,GROCERIES ,698,1347,8.31,
2025.01.19,GROCERIES ,600,na,8.49,
13-04-2025, Toys ,204,574,24.12,
2024.06.01, groceries ,46,108,8.87,drop
15-Apr-23,FURNITURE ,105,253,"410,50",
06/28/2024, furniture,104,268,402.98,
"Feb 09, 2023", Electronics ,302,819,$248.83,
05-11-2024,Electronics,307,721,$254.91,
20-Oct-24,Clothing,-224,367,$41.90,
03/19/2023,furniture,117,207,$406.29,
27-Nov-24, furniture,155,343,404.98,
"Jun 23, 2024",Grocery,539,922,$8.86,
2024.03.07,ELECTRONICS,,1161,247.96,
2024.08.23,Cloting,209,597,41.15,
22-Apr-24,Clothing,404,1197,40.76,
"Jul 19, 2024",Electronics,228,632,243.06,
2023.03.27,Toyz,190,399,$25.37,
"Jul 20, 2024",furniture,90,205,"384,07",
12-Feb-24,groceries,676,1094,$8.49,
03/21/2024,CLOTHING,439,737,38.22,
30-Dec-23,toys,197,514,$25.63,
2024.03.04, furniture,144,223,$386.24,
05-06-2024,Toyz,237,422,24.98,
21-11-2024,GROCERIES ,718,2112,8.5,
18-Aug-23, groceries ,-366,1092,8.68,
03-May-24, furniture,,?,$400.04,
21-Mar-23,toys,211,344,24.23,
"Nov 11, 2023",Furniture,105,190,394.63,
04-10-2023,Toyz,178,434,24.27,
10-02-2025,groceries,634,1452,$8.43,
09-01-2023, Clothing,188,499,"41,13",
16-Jun-24, Toys ,157,247,24.24,
05/20/2023,clothing,327,936,41.18,
10-06-2023, Toys ,95,265,25.13,
2025.02.24,Electroncs,380,586,$239.53,
01/25/2025, groceries ,497,890,"8,50",
25-11-2023,ELECTRONICS,265,448,$252.65,
2025.01.26,Groceries,589,1207,8.69,
"Aug 05, 2023",Groceries,401,819,8.36,
"Jan 12, 2025",Toyz,194,457,$26.12,
2025.06.23,Clothing,331,529,39.47,
03-08-2024,Electroncs,282,661,254.87,
2025.02.23,electronics,356,892,na,
20-05-2024,Cloting,397,,38.04,
19-12-2023,Electronics,,682,$238.61,
10-06-2023,CLOTHING,321,594,40.63,
2023.08.27,furniture,75,185,417.92,
2024.07.14,Cloting,307,845,38.12,
"Jan 25, 2024",toys,801,na,26.01,spike
"Mar 28, 2023",CLOTHING,476,1209,41.85,
2024.07.14,Electroncs,253,695,$261.29,
07/27/2023,clothing,312,713,40.04,
"Sep 07, 2023", Electronics ,196,583,258.89,
02/14/2025,GROCERIES ,620,1636,8.27,
13-02-2024,Toys,234,487,$24.06,
23-Nov-24,ELECTRONICS,284,481,239.38,
"Jan 20, 2025",furniture,126,198,406.19,
2023.12.05,toys,-249,681,24.36,
01-10-2023,furniture,66,157,383.85,
09-Jun-25,Electronics,322,861,245.39,
"Mar 31, 2024",Furnitature,-116,198,na,
2024.11.24,TOYS,185,312,25.55,
2023.12.11,Toys,222,492,$24.60,
29-08-2024,toys,134,368,23.9,
07-Sep-24,Toyz,116,329,$24.32,
12-01-2025,Furniture,126,376,410.07,
23-08-2023,electronics,234,654,257.58,
2025.04.07,Grocery,661,1684,$8.12,
2025.01.08, Electronics ,398,722,247.27,
2023.09.11, Electronics ,161,402,$258.41,
01/19/2025,electronics,?,811,255.31,
04/29/2025,Clothing,488,1185,$40.96,
25-02-2024,Toys,190,382,$24.12,
08-02-2023, Electronics ,258,607,250.46,
23-Jul-23,Grocery,404,962,8.87,
"Apr 12, 2024",Toys,183,462,24.63,
27-Sep-23,ELECTRONICS,218,541,$261.69,
2023.07.14,toys,,349,25.69,
11/13/2024,groceries,838,1988,$8.34,
17-03-2025, furniture,150,326,394.04,
07-04-2025,Furniture,151,277,"393,32",
2024.10.21,furniture,78,218,$400.43,
2024.01.25,Electroncs,305,778,240.29,
24-Jun-24,GROCERIES ,559, ,$8.60,
2023.04.21,Cloting,341,529,38.14,
2024.01.26,Toyz,169,310,$25.94,
20-Oct-24,TOYS,117,334,23.84,
13-01-2025,ELECTRONICS,335,575,242.52,
2025.05.04,groceries,642,1552,8.32,
2024.02.14,Grocery,848,1301,$8.64,
11/26/2024,GROCERIES ,704,1080,8.25,
2024.07.15,Electroncs,233,541,253.43,
10-10-2024,CLOTHING,263,,$40.42,
18-11-2023,CLOTHING,N/A,732,40.69,
"Feb 28, 2024",Toys,217,420,$25.84,
"Feb 04, 2025", Clothing,?,1015,38.06,
04-07-2024,Furniture,?,,394.54,
13-11-2024,ELECTRONICS,387,720,$242.96,
16-07-2024,electronics,273,418,NULL,
"Jan 04, 2025", Clothing,321,624,40.98,
2023.10.13,Electroncs,153,395,$260.80,
"Dec 19, 2024", Toys ,N/A,503,26.01,
11-Jun-23,FURNITURE ,96,209,406.99,
19-Jul-23,Groceries,614,1781,8.8,
01-02-2024,groceries,644,1531,8.58,
12-Sep-23,Furnitature,80,208,"412,94",
04-Mar-25,Electronics,449,898,258.69,
14-Oct-23,electronics,156,410,260.69,
09-06-2024,Groceries,536,950,"8,23",
11/19/2024,CLOTHING,437,781,38.93,
24-11-2023,Toyz,164,473,24.42,
05/14/2023,FURNITURE ,?,210,$406.46,
05/15/2023,FURNITURE ,96,250,$411.20,
"Apr 26, 2024",CLOTHING,352,680,40.18,
28-05-2025,Groceries,757,1973,8.3,
03/20/2024,GROCERIES ,772,2271,$8.12,
16-Apr-24,Grocery,724,2036,8.19,
06-10-2025, Electronics ,392,874,$243.63,
23-Feb-24,Toys,183,456,$24.39,
"May 07, 2024",toys,237,657,$24.51,
10/29/2024,electronics,223,543,262.21,
"Feb 15, 2025",TOYS,186,540,25.82,
16-05-2023,clothing,438,877,39.68,
08-Sep-23,GROCERIES ,343,781,8.12,
05/17/2025,Cloting,408,1122,41.3,
15-03-2025,electronics,321,524,$238.21,
09-Jul-23,furniture,81,223,$380.17,
2024.03.28,Furnitature,na,431,na,
2023.02.06,clothing,333,720,39.02,
08-Jan-23,FURNITURE ,91,151,396.39,
04-11-2025,Grocery,576,1723,8.1,
19-05-2025,Toys,na,470,26.09,
13-01-2023,Electroncs,204,521,$244.40,
"Dec 21, 2023",Grocery,697,1842,8.9,
"Jun 02, 2025",furniture,132,199,$398.84,
06/15/2023,CLOTHING,386,758,$40.88,
2023.01.09,groceries,534, ,8.82,
"Jun 05, 2025",furniture,167,500,403.24,
"Nov 25, 2024",TOYS,184,463,25.43,
2023.04.08,Cloting,326,768,38.19,
07-04-2024,Groceries,609,1003,"8,83",
09-04-2023,Electronics,174,383,253.74,
2024.02.08,CLOTHING,405,1087,39.97,
04/21/2024,electronics,319,709,$252.00,
14-05-2023, Toys ,167,475,25.38,
14-11-2024,furniture,148,,"386,51",
2023.08.28, furniture,79,126,408.92,
2024.08.07, Electronics ,274,736,$250.83,
09-11-2023,Groceries,691,1047,"8,22",
2024.03.26,Grocery,857,2379,$8.33,
"Oct 10, 2024",Furniture,94,172,411.53,
11/15/2024,groceries,577,922,$8.27,
"Feb 24, 2024", Toys ,181,337,$24.06,
07/22/2024, Electronics ,262,476,242.01,
2024.10.10,Electronics,201,364,257.2,
04/13/2023,Grocery,709,1650,8.1,
01-01-2025,Electroncs,330,707,$254.11,
07-Oct-23, Toys ,-97,212,24,
08-11-2024,toys,125,null,24.63,
18-Aug-24, furniture,86,177,$391.97,
12-05-2024,Furniture,119,282,407.31,
09/20/2024,toys,93,151,24.63,
"Aug 01, 2024",electronics,261,772,$248.73,
25-03-2024,TOYS,205,605,24.43,
12/31/2023,furniture,122,204,411.02,
23-03-2025,Groceries,658,1188,$8.29,
31-Jul-23,groceries,439,1279,$8.73,
30-09-2024,Electroncs,190,427,$240.05,
2024.06.14,Clothing,339,803,39.82,
2025.06.29, furniture,-104,265,393.96,
2024.06.08,Clothing,358,648,41.28,
11-04-2025,ELECTRONICS,334,691,$261.43,
18-Oct-24,GROCERIES ,362,955,$8.64,
"Apr 28, 2023", groceries ,583,1657,$8.68,
"Aug 17, 2023", Clothing,275,555,39.69,
08-06-2025,CLOTHING,346,,$38.40,
16-09-2024,CLOTHING,227,561,39.43,
08/22/2023,Grocery,496,846,"8,23",
"Dec 09, 2023",groceries,665,1530,8.52,
"Dec 16, 2024",clothing,468,1372, ,
23-Jan-24,Toyz,213,530,25.91,
"Jul 01, 2023",TOYS,134,379,25.6,
27-09-2024,Grocery,305,492,$8.07,
20-Jan-23,Toyz,136,314,24.67,
12-Jul-24,Groceries,446,810,8.5,
09/13/2023,toys,132,296,25.78,
2023.04.26,electronics,371,757,$239.61,
07-Mar-24,Cloting,440,1198,40.47,
05-Oct-24,electronics,155,301,$242.13,
"May 13, 2023",Cloting,342,552,41.28,
21-Jul-24,furniture,90,262,$407.55,
05/17/2024, Electronics ,312,751,254.84,
"Oct 12, 2023",CLOTHING,248,485,41.29,
17-Jan-25,Grocery,596,1278,8.28,
15-Aug-23,Furnitature,83,162,396.43,
2023.04.12,TOYS,253,398,$24.43,
2023.01.12,TOYS,-175,384,25.23,
2023.08.29,Cloting,254,623,39.89,
24-Jul-23,Furniture,87,195,$379.25,
2024.09.22,furniture,76,189,"408,43",
"Jan 10, 2023",toys,158,364,$25.54,
2025.06.20,CLOTHING,-354,970,39.49,
02-05-2024,Groceries,-749,2008,8.5,
2023.09.14,TOYS,134,313,$26.16,
17-Apr-25,clothing,481,na,41.73,
20-04-2023, furniture,120,241,382.61,
"Sep 20, 2024",Cloting,217,641,$39.70,
14-04-2025, Clothing,426,null,"38,57",
14-Aug-23,CLOTHING,249,460,"41,06",
06-Apr-25,Toys,?,466,24.05,
"Jan 24, 2023",Furniture,121,342,$385.26,
"Oct 18, 2024",Electroncs,170,381,$243.83,
01-04-2024,Furniture,113,264,391.84,
27-Aug-23,toys,112,325,26,
2024.01.14,ELECTRONICS,na,552,244.56,
23-Apr-23,Electronics,268,739,238.85,
"Jul 13, 2023",clothing,330,865,$38.74,
"Aug 30, 2024",Electronics,157,402,"247,02",
16-11-2023,Clothing,90,255,$38.65,drop
"Aug 09, 2024",furniture,75,219,$380.33,
24-07-2024, groceries ,619,1619,8.18,
"May 09, 2023",electronics,24,40,"252,53",drop
"Dec 12, 2024",Clothing,441,806,38.05,
23-11-2023,ELECTRONICS,317,873,$256.43,
"Jul 30, 2024",CLOTHING,-347,584,$41.04,
05-08-2023,electronics,198,522,253.72,
2023.02.15,Furniture,122,322,407.49,
28-Mar-25,Cloting,369,776,$38.22,
04-Jul-24, Clothing,-309,642,40.28,
"Sep 09, 2024",FURNITURE ,77,209,395.26,
"Jan 05, 2025", Toys ,162,449,25.93,
"Feb 14, 2023", Electronics ,339,822,NULL,
02-Apr-24, Toys ,254,461,$25.18,
14-Dec-23,FURNITURE ,140,397,416.2,
"Mar 11, 2025", Clothing,528,1132,39.59,
"Jan 13, 2025",Furniture,125,305,"383,18",
2024.04.09,Furnitature,166,414,399.91,
08-Jan-25,Clothing,481,846,40.65,
2024.05.12, Electronics ,330,956,247.14,
05-May-24,electronics,309,510,244.68,
2023.04.18, furniture,148,420,"404,17",
16-Jan-25,Electroncs,351,949,244.24,
22-03-2024,electronics,330,606,$246.60,
28-03-2023,GROCERIES ,868,1337,8.16,
09-02-2024,Electronics,240,488,$257.24,
04-03-2024,groceries,914,1884,8.46,
"Feb 23, 2025",GROCERIES ,589,?,"8,55",
2025.01.31,Groceries,552,1543,"8,79",
21-05-2024,Toys,243,545,na,
17-Mar-25,CLOTHING,438,1220,39.1,
11-04-2024,clothing,484,1174,"39,07",
22-02-2024, furniture,150,311,$417.61,
28-Nov-24,Clothing,452,699,$41.23,
"Jun 03, 2025", Toys ,234,599,$26.08,
"Jan 10, 2023",toys,158,364,$25.54,
23-Sep-23,Groceries,328,659,$8.21,
"Jul 29, 2023", Toys ,112,na,25.93,
2024.08.02,FURNITURE ,82,180,409.11,
05-Jul-24, Toys ,9,19,25.5,drop
"Dec 03, 2023", Electronics ,345,932,256.91,
22-06-2024,TOYS,172,308,$23.93,
2025.03.30, Electronics ,371,856,248.65,
"Jul 29, 2023", Electronics ,191,496,$260.26,
08-Oct-23, Clothing,216,570,$38.34,
"Jan 11, 2023",Electroncs,-296,NULL,"260,48",
07-Sep-23, furniture,72,122,$405.24,
2023.09.27,Furniture,98,268,382.24,
"Oct 11, 2024",Electronics,194,364,249,
"Jun 17, 2024", Electronics ,289,546,250.21,
"May 24, 2024",groceries,549,1507,"8,50",
12-Mar-25,Toys,258,509,,
2023.10.19,CLOTHING,279,441,$39.85,
25-Mar-23,Electronics,242,567,237.96,
2025.04.07,CLOTHING,470,933,39.2,
"Apr 29, 2025",Furnitature,160,416,402.63,
05-06-2023,GROCERIES ,571,1557,8.54,
2024.01.21,Electronics,275,779,259.96,
"Nov 26, 2023",furniture,120,284,401.67,
19-Nov-23, furniture,103,266,407.65,
02/21/2024,groceries,820,2312,8.84,
20-Feb-25, furniture,143,278,$396.77,
2024.09.13,groceries,334,619,8.64,
2025.01.29,Clothing,476,na,39.77,
"Oct 03, 2023",FURNITURE ,-77,184,387.38,
23-06-2024,electronics,na,705,"245,51",
2024.09.20, groceries ,340,802,8.25,
"Feb 12, 2024",Furnitature,125,201,403.84,
"Mar 01, 2024", Electronics ,N/A,729,253.48,
"Sep 22, 2023",furniture,61,121,394.97,
"Jun 07, 2024", furniture,120,284,414.74,
06/19/2025,Grocery,593,1259,"8,43",
"Sep 30, 2024",Cloting,239,557,$40.73,
17-11-2023,clothing,312,744,41.3,
01-07-2024,clothing,303,610,40.96,
16-08-2024,Clothing,236,658,39.26,
07-02-2025, groceries ,570,1146,8.83,
29-05-2023, groceries ,595,NULL,8.53,
"Apr 01, 2024",ELECTRONICS,336,691,$249.18,
01-12-2025,Electronics,317,503,241.51,
"Jul 22, 2023",TOYS,117,255,$25.54,
"Mar 24, 2024",Clothing,376,826,"39,59",
09-04-2023, groceries ,361,830,8.62,
22-04-2025,CLOTHING,623,964,39.23,
12/18/2023, groceries ,717,1773,8.57,
2024.03.23,CLOTHING,380,891,38.51,
"Feb 16, 2025",Electronics,348,902,249.35,
08/30/2023,Furnitature,78,NULL,383.82,
01/29/2023,groceries,575,876,$8.50,
