date,product_category,units_sold,inventory_level,unit_price,promotion_flag,warehouse_dispatch_rate,is_anomaly,anomaly_type
23-02-2020,Apparel,420.3,971.5,64.52,1,398.7,0,
24-02-2020,Apparel,307,968.2,64.83,0,276.9,0,
25-02-2020,Apparel,323.9,962.5,62.95,0,330.2,0,
26-02-2020,Apparel,363.7,952,64.2,0,345.2,0,
27-02-2020,Apparel,363.9,948,63.86,0,347.1,0,
28-02-2020,Apparel,,949.6,63.03,0,326.7,0,
29-02-2020,Apparel,358.4,944.6,65.13,0,349.3,0,
01-03-2020,Apparel,318.3,960.6,61.36,0,320,0,
02-03-2020,Apparel,330.1,960.3,65.66,0,335.3,0,
03-03-2020,Apparel,364.9,945.5,61.1,0,349.9,0,
04-03-2020,Apparel,324.8,960.8,63.75,0,324.6,0,
05-03-2020,Apparel,363.1,945.1,65.15,0,366,0,
06-03-2020,Apparel,336.2,945.2,62.42,0,317.5,0,
07-03-2020,Apparel,335.5,943.5,64.48,0,306.8,0,
08-03-2020,Apparel,318.3,954.3,64.35,0,329.1,0,
09-03-2020,Apparel,301,962.8,64.36,0,301.5,0,
10-03-2020,Apparel,355.5,946.4,63.5,0,354.5,0,
11-03-2020,Apparel,317.7,955.7,63.35,0,288.7,0,
12-03-2020,Apparel,350.8,943.8,61.93,0,358.8,0,
13-03-2020,Apparel,305.1,958.1,63.81,0,300.5,0,
14-03-2020,Apparel,337.9,942.9,65.12,0,347.1,0,
15-03-2020,Apparel,331.7,943,63.36,0,347,0,
16-03-2020,Apparel,356.7,955.5,63.42,1,372.2,0,
17-03-2020,Apparel,251.1,959.3,65.98,0,258.2,0,
18-03-2020,Apparel,436.3,936,63.73,1,393.3,0,
19-03-2020,Apparel,524.3,933,64.39,1,541.5,0,
20-03-2020,Apparel,348.5,928,64.63,0,317.6,0,
21-03-2020,Apparel,360.5,922.9,63.73,0,370.5,0,
22-03-2020,Apparel,294.2,938.2,64.81,0,277.2,0,
23-03-2020,Apparel,,952.7,65.21,0,269.8,0,
24-03-2020,Apparel,269.2,949.4,65.1,0,243.8,0,
25-03-2020,Apparel,311.5,938,65.24,0,316.4,0,
26-03-2020,Apparel,332.8,929.1,61.28,0,305.1,0,
27-03-2020,Apparel,316.1,625.6,62.44,0,304,0,
28-03-2020,Apparel,328.9,624.5,63.28,0,336.3,0,
29-03-2020,Apparel,302.9,625.2,62.92,0,31.1,1,supplier_delay
30-03-2020,Apparel,281.9,629.4,63.02,0,254,0,
31-03-2020,Apparel,266.7,636.4,65.08,0,256.2,0,
01-04-2020,Apparel,1193.5,952.1,64.08,0,263.5,1,demand_spike
02-04-2020,Apparel,269,958,63.77,0,269.3,0,
03-04-2020,Apparel,323.8,941.8,63.65,0,338.5,0,
04-04-2020,Apparel,484.8,957.9,63.43,1,484,0,
05-04-2020,Apparel,290.2,968.6,63.63,0,271,0,
06-04-2020,Apparel,283.6,967.5,65.72,0,270.3,0,
07-04-2020,Apparel,284.5,964.1,61.69,0,297.7,0,
08-04-2020,Apparel,379.8,967,65.57,1,354.6,0,
09-04-2020,Apparel,309.9,956.2,66.88,0,305,0,
10-04-2020,Apparel,418.1,969.1,65.56,1,401.4,0,
11-04-2020,Apparel,288.2,969.8,62.68,0,292.6,0,
12-04-2020,Apparel,280.7,974.7,63.32,0,289.1,0,
13-04-2020,Apparel,252.8,981.8,65.26,0,240.4,0,
14-04-2020,Apparel,287,968.3,63.62,0,286.7,0,
15-04-2020,Apparel,273.6,979.7,63.3,0,268.8,0,
16-04-2020,Apparel,306.7,968.5,63.81,0,288.8,0,
17-04-2020,Apparel,308.1,966,62.51,0,289.8,0,
18-04-2020,Apparel,307.6,965.8,63.78,0,301.7,0,
19-04-2020,Apparel,290.9,971.7,62.4,0,268.5,0,
20-04-2020,Apparel,274.3,971.6,64.87,0,280.3,0,
21-04-2020,Apparel,223.5,984,62.86,0,203.4,0,
22-04-2020,Apparel,303.6,956.9,64.01,0,277.5,0,
23-04-2020,Apparel,326.2,954.3,63.37,0,310.3,0,
24-04-2020,Apparel,396,960.5,64.43,1,363.4,0,
25-04-2020,Apparel,292.1,951.3,64.99,0,283.7,0,
26-04-2020,Apparel,389.3,953.9,64.31,1,373.7,0,
27-04-2020,Apparel,217.7,956.5,63.05,0,219.5,0,
28-04-2020,Apparel,244.6,955.2,63.22,0,255.1,0,
29-04-2020,Apparel,264.8,949.2,66.96,0,268.2,0,
30-04-2020,Apparel,284.7,945.8,65.16,0,263.9,0,
01-05-2020,Apparel,276.5,950.9,63.69,0,287.6,0,
02-05-2020,Apparel,268.5,953.6,63.21,0,257.4,0,
03-05-2020,Apparel,398.1,954.9,62.1,1,386.6,0,
04-05-2020,Apparel,235.9,968.2,65.38,0,227.2,0,
05-05-2020,Apparel,264.9,960.2,63.03,0,249.6,0,
06-05-2020,Apparel,284,961.5,65.29,0,293.8,0,
07-05-2020,Apparel,333.4,949.8,65,0,316.6,0,
08-05-2020,Apparel,312.7,952.9,65.67,0,308.6,0,
09-05-2020,Apparel,283.4,959.2,64.91,0,265.2,0,
10-05-2020,Apparel,,966.4,63.67,0,252.1,0,
11-05-2020,Apparel,252.7,970.9,63.96,0,256.8,0,
12-05-2020,Apparel,257.1,967.5,63.97,0,242.8,0,
13-05-2020,Apparel,257.4,963.5,63.6,0,258,0,
14-05-2020,Apparel,299.1,952.6,61.87,0,300.7,0,
15-05-2020,Apparel,260.6,963.6,61.19,0,256.5,0,
16-05-2020,Apparel,270.8,962,64.91,0,268.1,0,
17-05-2020,Apparel,,972.6,63.71,0,263.4,0,
18-05-2020,Apparel,238.7,985.7,65.17,0,217.7,0,
19-05-2020,Apparel,244.1,984.2,63.46,0,244.2,0,
20-05-2020,Apparel,262.1,971.7,63.94,0,254.4,0,
21-05-2020,Apparel,265.3,968.3,65.13,0,256.2,0,
22-05-2020,Apparel,308.1,959,65.93,0,317.1,0,
23-05-2020,Apparel,363.2,969.5,63.54,1,328.2,0,
24-05-2020,Apparel,260.5,978.1,62.66,0,244.3,0,
25-05-2020,Apparel,250.4,981.2,65.49,0,229.9,0,
26-05-2020,Apparel,228,988.2,63.57,0,206.4,0,
27-05-2020,Apparel,264.6,973.9,63.32,0,249.1,0,
28-05-2020,Apparel,262.5,977,63.43,0,275.1,0,
29-05-2020,Apparel,457.3,956.6,63.02,1,430.1,0,
30-05-2020,Apparel,250.2,985.7,64.93,0,250.1,0,
31-05-2020,Apparel,240.7,995.2,62.23,0,220.9,0,
01-06-2020,Apparel,217.9,1006.9,64.07,0,215.7,0,
02-06-2020,Apparel,219.4,999.5,64.26,0,229.9,0,
03-06-2020,Apparel,293.5,978.3,63.18,0,277,0,
04-06-2020,Apparel,290.2,985.3,65.97,0,298.1,0,
05-06-2020,Apparel,286.6,989.4,65.09,0,300.9,0,
06-06-2020,Apparel,259.5,992.5,63.36,0,256.5,0,
07-06-2020,Apparel,271,985.8,63.81,0,256.5,0,
08-06-2020,Apparel,,997.1,65.09,0,226,0,
09-06-2020,Apparel,261.5,983.4,64.04,0,268.4,0,
10-06-2020,Apparel,246.3,995.6,65.73,0,228,0,
11-06-2020,Apparel,267.9,979.5,64.67,0,259.3,0,
12-06-2020,Apparel,299.4,973.3,64.27,0,283.8,0,
13-06-2020,Apparel,289.9,969.7,64.25,0,273.2,0,
14-06-2020,Apparel,266.1,972.1,67.97,0,273.9,0,
15-06-2020,Apparel,222.7,975,62.64,0,214.5,0,
16-06-2020,Apparel,238.8,967.4,62.54,0,227.1,0,
17-06-2020,Apparel,404.3,966.3,63.63,1,400.5,0,
18-06-2020,Apparel,265.6,968.3,65.74,0,247.8,0,
19-06-2020,Apparel,313.1,948,60.79,0,292.6,0,
20-06-2020,Apparel,228.7,978.5,61.51,0,223.6,0,
21-06-2020,Apparel,241.6,980.7,63.43,0,232.3,0,
22-06-2020,Apparel,235.4,983.1,66.65,0,222.3,0,
23-06-2020,Apparel,194.8,1005.5,63.97,0,176.9,0,
24-06-2020,Apparel,240.3,995.9,62.46,0,235,0,
25-06-2020,Apparel,296.9,982.4,64.99,0,303.6,0,
26-06-2020,Apparel,290,980.4,66.07,0,298.1,0,
27-06-2020,Apparel,308.6,526.8,63.13,0,288.7,0,
28-06-2020,Apparel,289.8,530.5,64.52,0,286.8,0,
29-06-2020,Apparel,257,537.2,64.14,0,59.2,1,supplier_delay
30-06-2020,Apparel,259.4,534.9,64.67,0,249.4,0,
01-07-2020,Apparel,272.2,533.2,63.36,0,283,0,
02-07-2020,Apparel,237.1,996.3,64.75,0,245.5,0,
03-07-2020,Apparel,266.3,976.8,65.01,0,248,0,
04-07-2020,Apparel,284.1,976.4,64.86,0,266.7,0,
05-07-2020,Apparel,275.9,971.3,61.87,0,255.8,0,
06-07-2020,Apparel,258.5,977.1,62.11,0,240.2,0,
07-07-2020,Apparel,340.6,984.2,63.06,1,352.9,0,
08-07-2020,Apparel,293.6,969.9,64.28,0,305.2,0,
09-07-2020,Apparel,321.9,960,64.66,0,292.2,0,
10-07-2020,Apparel,316.3,963,62.59,0,312.8,0,
11-07-2020,Apparel,306.3,968.4,64.36,0,301.5,0,
12-07-2020,Apparel,258.2,986.5,65.15,0,247.5,0,
13-07-2020,Apparel,278.9,988.9,64.8,0,277.4,0,
14-07-2020,Apparel,265.9,994,63.35,0,277.1,0,
15-07-2020,Apparel,290.8,986.8,63.47,0,269.1,0,
16-07-2020,Apparel,305.8,977.8,62.28,0,280.7,0,
17-07-2020,Apparel,301.4,777.3,66.17,0,272.8,0,
18-07-2020,Apparel,276.2,785.9,64.55,0,263.7,0,
19-07-2020,Apparel,273.3,785.8,61.88,0,42.8,1,supplier_delay
20-07-2020,Apparel,283.2,785.7,65.51,0,273.2,0,
21-07-2020,Apparel,260.6,789.9,64.78,0,254.3,0,
22-07-2020,Apparel,304.4,987.4,65.47,0,308.6,0,
23-07-2020,Apparel,457.3,987.5,63.23,1,438.5,0,
24-07-2020,Apparel,304.4,996.4,63.41,0,289.1,0,
25-07-2020,Apparel,326.3,990.5,62.9,0,334.2,0,
26-07-2020,Apparel,274.7,1000.7,66.65,0,282.3,0,
27-07-2020,Apparel,300.1,990.1,63.3,0,280.6,0,
28-07-2020,Apparel,284.5,997.7,62.72,0,269.5,0,
29-07-2020,Apparel,293.8,1007.2,63.11,0,300.8,0,
30-07-2020,Apparel,295,1005.1,63.53,0,269,0,
31-07-2020,Apparel,315.7,1001.2,65.93,0,299.6,0,
01-08-2020,Apparel,302.8,1002.3,64.3,0,292.9,0,
02-08-2020,Apparel,264.6,1008.9,65.52,0,245.6,0,
03-08-2020,Apparel,274.1,1002.6,64.31,0,254.1,0,
04-08-2020,Apparel,268.1,994,63.71,0,258.3,0,
05-08-2020,Apparel,313.1,987.3,62.61,0,317.2,0,
06-08-2020,Apparel,345.2,966.5,65.98,0,354.2,0,
07-08-2020,Apparel,301.5,978.3,65.21,0,315.6,0,
08-08-2020,Apparel,347.8,958.5,65.33,0,316.9,0,
09-08-2020,Apparel,294.4,970.1,65.13,0,274.6,0,
10-08-2020,Apparel,267.5,985.1,63.03,0,271.1,0,
11-08-2020,Apparel,306.4,974.4,64.28,0,300.6,0,
12-08-2020,Apparel,301.3,971.1,65.33,0,286,0,
13-08-2020,Apparel,326.5,960.6,65.15,0,304,0,
14-08-2020,Apparel,325.7,957,64.14,0,306.8,0,
15-08-2020,Apparel,454.6,962.3,66.47,1,438.5,0,
16-08-2020,Apparel,319.4,959.5,64.62,0,296,0,
17-08-2020,Apparel,289.3,978.1,65.63,0,302.2,0,
18-08-2020,Apparel,272.5,973.5,64.2,0,249.6,0,
19-08-2020,Apparel,329.2,956.3,63.47,0,345,0,
20-08-2020,Apparel,313.5,959.5,65.18,0,321.7,0,
21-08-2020,Apparel,319.9,962.3,64.88,0,308.2,0,
22-08-2020,Apparel,354.9,953.6,64.39,0,358.8,0,
23-08-2020,Apparel,291,975.7,62.86,0,291.2,0,
24-08-2020,Apparel,258.9,987,65.23,0,241.3,0,
25-08-2020,Apparel,321.3,963.7,62.93,0,305.5,0,
26-08-2020,Apparel,321.6,969.6,64.94,0,314.2,0,
27-08-2020,Apparel,455.5,967.6,62.54,1,453.6,0,
28-08-2020,Apparel,345.2,971.1,62.86,0,338.8,0,
29-08-2020,Apparel,345.3,977.4,64.32,0,335.3,0,
30-08-2020,Apparel,308.7,990.5,64.68,0,298.3,0,
31-08-2020,Apparel,341.4,988.1,64.22,0,332.8,0,
01-09-2020,Apparel,289.7,1005.4,63.27,0,279.6,0,
02-09-2020,Apparel,345.2,987.7,65.37,0,338.7,0,
03-09-2020,Apparel,367.4,981,64.12,0,379.6,0,
04-09-2020,Apparel,345.7,987.4,64.19,0,344,0,
05-09-2020,Apparel,330.2,989.5,63.74,0,332.9,0,
06-09-2020,Apparel,487.1,991,63.02,1,482,0,
07-09-2020,Apparel,302.8,1007.3,65.38,0,301.8,0,
08-09-2020,Apparel,315.8,1003.9,63.12,0,311.6,0,
09-09-2020,Apparel,914.9,991.7,66.11,0,328.2,1,demand_spike
10-09-2020,Apparel,364.8,1006,62.89,0,383,0,
11-09-2020,Apparel,334.8,1009.4,64.36,0,303,0,
12-09-2020,Apparel,393,987.7,64.03,0,377,0,
13-09-2020,Apparel,331.4,999.3,63.8,0,303.5,0,
14-09-2020,Apparel,323.4,1000.5,64.81,0,295.8,0,
15-09-2020,Apparel,341.6,996.3,64.95,0,348.1,0,
16-09-2020,Apparel,367.1,986.3,64.63,0,353.8,0,
17-09-2020,Apparel,411.2,970.4,62.58,0,419.5,0,
18-09-2020,Apparel,,990.5,62.44,0,326.1,0,
19-09-2020,Apparel,384.3,976.7,62.37,0,360.6,0,
20-09-2020,Apparel,365.1,984,63.63,0,342.3,0,
21-09-2020,Apparel,337.6,997.8,66.65,0,335,0,
22-09-2020,Apparel,360.9,994.2,63.88,0,369,0,
23-09-2020,Apparel,382,992.2,66.63,0,369.8,0,
24-09-2020,Apparel,355.4,1005.6,63.9,0,340.1,0,
25-09-2020,Apparel,421.5,987.2,64.15,0,440.9,0,
26-09-2020,Apparel,347,1008.8,64.7,0,318.3,0,
27-09-2020,Apparel,462.2,1007.8,63.57,1,449.7,0,
28-09-2020,Apparel,343.9,1003.9,64.23,0,330.6,0,
29-09-2020,Apparel,391.7,987,61.76,0,358.3,0,
30-09-2020,Apparel,366.7,998.1,62.81,0,344.7,0,
01-10-2020,Apparel,390.2,992.8,61.79,0,352.8,0,
02-10-2020,Apparel,423.9,986.2,64.87,0,437.3,0,
03-10-2020,Apparel,379.8,993.6,62.2,0,376.5,0,
04-10-2020,Apparel,345.1,1011.1,65.75,0,352.8,0,
05-10-2020,Apparel,349.3,1007.8,64.4,0,341.7,0,
06-10-2020,Apparel,389.3,990.3,65.17,0,385.4,0,
07-10-2020,Apparel,382.2,990.2,63.12,0,384.2,0,
08-10-2020,Apparel,436.4,986.4,62.51,0,452.2,0,
09-10-2020,Apparel,418.6,989.8,63.5,0,382.5,0,
10-10-2020,Apparel,381.2,999.4,65.3,0,362,0,
11-10-2020,Apparel,376.9,999.7,66.65,0,379.3,0,
12-10-2020,Apparel,,1007.4,64.59,0,364,0,
13-10-2020,Apparel,357.6,1000.8,62.26,0,374.4,0,
14-10-2020,Apparel,,966.2,62.7,0,473.3,0,
15-10-2020,Apparel,426.4,606.9,62.04,0,396.1,0,
16-10-2020,Apparel,428.5,607.4,63.78,0,393.4,0,
17-10-2020,Apparel,389.1,611.3,63.59,0,68.2,1,supplier_delay
18-10-2020,Apparel,413.7,605.7,63.77,0,399.3,0,
19-10-2020,Apparel,393.8,607.7,62.57,0,366,0,
20-10-2020,Apparel,414.2,981.8,62.44,0,430.8,0,
21-10-2020,Apparel,431.2,983.3,64.06,0,394.8,0,
22-10-2020,Apparel,385,996.4,64.56,0,388.6,0,
23-10-2020,Apparel,397.3,992.3,62.43,0,394.8,0,
24-10-2020,Apparel,388.5,1003.8,64.55,0,354.8,0,
25-10-2020,Apparel,371.7,1013.2,65.15,0,353.4,0,
26-10-2020,Apparel,385.4,1012,60.96,0,355.5,0,
27-10-2020,Apparel,373.2,1025.4,65.96,0,369.7,0,
28-10-2020,Apparel,442.2,1007.2,64.84,0,429.6,0,
29-10-2020,Apparel,456.8,992.9,65.16,0,411.4,0,
30-10-2020,Apparel,424.8,1006.6,62.64,0,444.5,0,
31-10-2020,Apparel,451.8,990.6,64.95,0,430.3,0,
01-11-2020,Apparel,424.7,1001,65.1,0,398.7,0,
02-11-2020,Apparel,376.2,1007,63.11,0,351.1,0,
03-11-2020,Apparel,350.9,1012.2,64.94,0,324.2,0,
04-11-2020,Apparel,403.4,994.6,63.77,0,423.5,0,
05-11-2020,Apparel,1785.6,988,63.15,0,389.8,1,demand_spike
06-11-2020,Apparel,434.2,979.8,63.69,0,417.2,0,
07-11-2020,Apparel,,989,64.16,0,433.8,0,
08-11-2020,Apparel,609.6,991,63.56,1,607.3,0,
09-11-2020,Apparel,400,994.4,62.93,0,382.1,0,
10-11-2020,Apparel,371.2,998.2,64.44,0,384.1,0,
11-11-2020,Apparel,420.2,982.5,64.66,0,425.4,0,
12-11-2020,Apparel,421.3,983.8,64.13,0,393.6,0,
13-11-2020,Apparel,438.5,973.7,61.87,0,436.9,0,
14-11-2020,Apparel,441.9,966.1,63.19,0,458.9,0,
15-11-2020,Apparel,381.3,986.7,62.86,0,371.6,0,
16-11-2020,Apparel,388.4,990.2,66.16,0,392.3,0,
17-11-2020,Apparel,480.4,987.5,64.09,1,502.3,0,
18-11-2020,Apparel,406,982.3,63.58,0,407.4,0,
19-11-2020,Apparel,450.8,969.6,63.23,0,412.7,0,
20-11-2020,Apparel,553.6,977.9,63.78,1,518.6,0,
21-11-2020,Apparel,415.9,981.6,64.9,0,411.4,0,
22-11-2020,Apparel,394.5,975.4,61.6,0,371.3,0,
23-11-2020,Apparel,418,963,64.24,0,436.2,0,
24-11-2020,Apparel,391.8,966.6,63.3,0,376.5,0,
25-11-2020,Apparel,427.6,956.6,64.49,0,414.2,0,
26-11-2020,Apparel,474.2,943.5,64.96,0,476.7,0,
27-11-2020,Apparel,439,957.3,63.05,0,429.6,0,
28-11-2020,Apparel,450.5,955.1,62.19,0,431.3,0,
29-11-2020,Apparel,442.7,951,63.55,0,403.5,0,
30-11-2020,Apparel,418.7,965.4,65.59,0,414.3,0,
01-12-2020,Apparel,402.9,976.5,65.01,0,415,0,
02-12-2020,Apparel,432.8,961.2,63.46,0,434,0,
03-12-2020,Apparel,,969,63.13,0,394.9,0,
04-12-2020,Apparel,426.7,961.7,63.23,0,392.2,0,
05-12-2020,Apparel,418.5,964.9,62.28,0,427.9,0,
06-12-2020,Apparel,,959.3,64.95,0,473.6,0,
07-12-2020,Apparel,384,991.2,65.18,0,368,0,
08-12-2020,Apparel,388,993.7,63.45,0,391.6,0,
09-12-2020,Apparel,400.8,991.4,63.3,0,385.4,0,
10-12-2020,Apparel,663.6,975.3,63.05,1,647.2,0,
11-12-2020,Apparel,445,977.3,63.37,0,456.3,0,
12-12-2020,Apparel,451.5,982.2,63,0,412,0,
13-12-2020,Apparel,424.5,990,63.74,0,415.8,0,
14-12-2020,Apparel,372.9,1001.1,64.95,0,347.7,0,
15-12-2020,Apparel,388.1,988.4,64.82,0,369.1,0,
16-12-2020,Apparel,447.1,973.3,62.87,0,445.6,0,
17-12-2020,Apparel,433.6,978.6,64.14,0,392,0,
18-12-2020,Apparel,464.5,966.1,64.77,0,459.4,0,
19-12-2020,Apparel,426.7,982.6,62.74,0,402.2,0,
20-12-2020,Apparel,391.8,990.9,64.12,0,392,0,
21-12-2020,Apparel,392.7,990,65.49,0,361.8,0,
22-12-2020,Apparel,383.8,992.6,63.63,0,387.7,0,
23-12-2020,Apparel,408.3,983.5,61.36,0,407,0,
24-12-2020,Apparel,439.8,975.2,60.72,0,459.9,0,
25-12-2020,Apparel,449.7,978,64.34,0,466.2,0,
26-12-2020,Apparel,396.9,988.1,64.08,0,374.1,0,
27-12-2020,Apparel,408.2,987.2,64.18,0,369.1,0,
28-12-2020,Apparel,385.1,995,64.57,0,384.4,0,
29-12-2020,Apparel,387.7,994.9,62.05,0,384,0,
30-12-2020,Apparel,419.4,989.8,62.91,0,379.2,0,
31-12-2020,Apparel,422.7,989,64.48,0,388.2,0,
01-01-2021,Apparel,463.9,979.1,64.88,0,458.2,0,
02-01-2021,Apparel,447.9,987.5,63.61,0,464.4,0,
03-01-2021,Apparel,523.6,990.8,62.11,1,542.5,0,
04-01-2021,Apparel,383.7,1005.7,64.38,0,354.1,0,
05-01-2021,Apparel,378.4,1006.1,64.01,0,362.3,0,
06-01-2021,Apparel,415,994.4,62.59,0,376.2,0,
07-01-2021,Apparel,427,989.2,61.41,0,414.3,0,
08-01-2021,Apparel,421.7,993.1,64.67,0,427.2,0,
09-01-2021,Apparel,398.4,1000.5,63.15,0,405.7,0,
10-01-2021,Apparel,400.9,1001.8,64.18,0,390.8,0,
11-01-2021,Apparel,381.5,1007.5,64.13,0,348.8,0,
12-01-2021,Apparel,406.2,992.1,62.48,0,388.8,0,
13-01-2021,Apparel,422,987.5,64.48,0,438.9,0,
14-01-2021,Apparel,446.8,980.3,62.84,0,417.5,0,
15-01-2021,Apparel,404.6,994.2,62.03,0,383.5,0,
16-01-2021,Apparel,424.3,985.3,61.87,0,429.4,0,
17-01-2021,Apparel,382.8,991.8,63.94,0,386.7,0,
18-01-2021,Apparel,360.8,1001.5,65.98,0,374.1,0,
19-01-2021,Apparel,379.6,994.5,63.99,0,363.7,0,
20-01-2021,Apparel,424.8,981.8,66.22,0,415.1,0,
21-01-2021,Apparel,413,983.9,65.79,0,400.7,0,
22-01-2021,Apparel,454,971.6,64.6,0,471.7,0,
23-01-2021,Apparel,,979.1,65.96,0,428.2,0,
24-01-2021,Apparel,383.7,985.6,65.81,0,393.2,0,
25-01-2021,Apparel,401.2,982.7,65.45,0,369.1,0,
26-01-2021,Apparel,390.7,982.9,61.53,0,398.1,0,
27-01-2021,Apparel,560,986.9,63.64,1,540.3,0,
28-01-2021,Apparel,450.3,967.9,63.05,0,406.8,0,
29-01-2021,Apparel,422.6,973.2,65.44,0,384.2,0,
30-01-2021,Apparel,1746.4,972.4,63.55,0,406,1,demand_spike
31-01-2021,Apparel,368.6,995.6,66.18,0,352.3,0,
01-02-2021,Apparel,395.3,984.9,64.07,0,407.2,0,
02-02-2021,Apparel,385.7,990.9,63.91,0,389.6,0,
03-02-2021,Apparel,403.9,995.2,63.46,0,364.8,0,
04-02-2021,Apparel,397.9,1000.9,63.71,0,399.1,0,
05-02-2021,Apparel,427.1,990.6,64.29,0,396.7,0,
06-02-2021,Apparel,415.8,993.7,63.86,0,400.6,0,
07-02-2021,Apparel,365.3,1004.7,63.35,0,363,0,
08-02-2021,Apparel,,1017.3,63.42,0,348.5,0,
09-02-2021,Apparel,379.9,1007.5,66.27,0,367.9,0,
10-02-2021,Apparel,543.7,1012.7,66.5,1,555.2,0,
11-02-2021,Apparel,499.5,992.7,63.34,1,508.2,0,
12-02-2021,Apparel,395,988.6,65.03,0,380.1,0,
13-02-2021,Apparel,623.7,987.7,62.88,1,608.2,0,
14-02-2021,Apparel,363.4,1003.6,63.52,0,365.2,0,
15-02-2021,Apparel,379.6,999.9,62.55,0,343.4,0,
16-02-2021,Apparel,351.3,1004.2,65.25,0,363.1,0,
17-02-2021,Apparel,611.8,983.3,64.56,1,621.3,0,
18-02-2021,Apparel,432.9,977.2,64.81,0,405.8,0,
19-02-2021,Apparel,375.4,994.7,65.08,0,393.1,0,
20-02-2021,Apparel,388.9,995.2,62.83,0,360.5,0,
21-02-2021,Apparel,,985,63.53,0,431.9,0,
22-02-2021,Apparel,351.7,1003.2,64.51,0,333.6,0,
23-02-2021,Apparel,469.7,1005.9,63.5,1,476.5,0,
24-02-2021,Apparel,384.6,1000.6,64.03,0,372.4,0,
25-02-2021,Apparel,385.9,1004.2,62.92,0,390,0,
26-02-2021,Apparel,355.1,1011.9,65.64,0,327.9,0,
27-02-2021,Apparel,397.2,1002.4,65.14,0,373.5,0,
28-02-2021,Apparel,316.5,1032.2,65.52,0,289.6,0,
01-03-2021,Apparel,334.3,1026.3,64.79,0,344.3,0,
