date,product_category,units_sold,inventory_level,unit_price,promotion_flag,warehouse_dispatch_rate,Unnamed: 7
16-08-2020, Apparel,524.2,1237.6,166.67,1,511.6,
06-16-2021,Grocery,258.7,682,111.56,0,246.1,
04-19-2020, Toys,229.6,742.7,?,0,218.2,
16-03-2021,Clothing,NULL,1280.4,167.04,TRUE,513.3,
09-01-2021,ELECTRONICS,228.9,558.5,47.39,N,223.4,
22-03-2020,OfficeSupplies,292.3,884.8,89.07,FALSE,283.9,
13-Mar-22,GROCERIES,555,755.5,109.73,1,555.1,
10-03-2021,Office Supplies,375.6,878.5,87.84,0,391.3,
22-Dec-22,"  PET SUPPLIES	",407.1,?,196.97,0,367.9,
24-10-2021,office supplies,384.6,826.2,89.39,0,363.1,
10-09-2022,office supplies,412.6,756,92,0,399.8,
05-Nov-22, Electronics,239.2,293.7,46.72,0,242,
05-Jun-20,Groceries ,1046.4,605.1,111.98,0,215.7,
28-05-2021,Furnture,340.4,991,75.94,Yes,346.2,
07-07-2021,Groceries,255.6,641,110.03,0,255.7,
25-May-21,Automotive Parts,289.5,?,217.63,0,280,
09-05-2021,furniture,195.5,,72.19,N,179.9,
09-23-2022,Pet Supplies ,436.2,721.6,197.83,0,441.8,
18-05-2021,Beuaty,408.4,1039.1,162.87,0,428.2,
08-02-2021,Automotive Parts,326.9,643.5,220.04,FALSE,316,
23-09-2022,FURNITURE,384.2,1143.5,NULL,0,367.4,
12-09-2021,sporting goods,563.1 units,1408.5,125.28,0,507.1,
10-09-2021,OFFICE SUPPLIES,415.4,804.7,88.4,FALSE,394.2,
10-12-2022,FURNITURE,missing,1123.7,74.53,TRUE,571.7,
07-Feb-21,Office Supplies,350,881.4,91.35,No,365.5,
03-27-2021,Furnture,187.4,969.5,74.51,0,185,
29-09-2020,beauty,317.7,1085.9,165.4,0,325.1,
07-17-2021,OfficeSupplies,300.9,999999,88.65,N,302.8,
10-03-2020,Groceries,247.4,678.5,107.61,FALSE,238.5,
06-02-2020, Toys,218.7,810.7,234.45,N,226.4,
03-11-2020, Beauty,322.2,1097.1,163.35,0,308.2,
15-10-2021,beauty,546.4 units,988.7,163.12,1,565.6,
09-21-2022,Clothing,475.3,1352.4,NULL,FALSE,435.6,
25-Jun-21,Appearl,428,1286.1,$174.23,0,396.4,
29-10-2022,Pet Supplies ,405.1,703.8,195.62,FALSE,400.2,
03-27-2022,OFFICE SUPPLIES,NULL,751.7,87.85,N,368.7,
01-Sep-21,Toy,345.8,629.7,-,FALSE,343.4,
06-03-2022,Grocerys,359.1,759.9,106.84,0,342.2,
11-26-2021,Pet Supplies,401.6,804.6,198,FALSE,414.3,
06-Nov-20,sporting goods,534,1395.6,129.02,FALSE,526.1,
14-Jan-21,Sport Goods,-502,1398.7,133.6,0,492.6,
13-07-2022,Electronics,264.9,274.8,46.06,N,244.9,
05-07-2022,GROCERIES,397.9,780.5,104.74,Yes,364.3,
13-07-2020,"  pet supplies	",248.5,769.8,199.87,0,248.5,
11-12-2020, Beauty,351.2,1059.8,169.03,N,360.8,
05-01-2022,Furniture,193.9,1184.1,75.72,N,201.8,
22-07-2020,Electronis,184.5,540.9,47.76,0,167.9,
02-18-2021,automotive parts,383.8,635.2,225.82,0,388,
26-Oct-22,Electronic,364.6,285.9,46.71,TRUE,329.8,
17-09-2020,Electronic,138.5,554.5,45.75,0,133.2,
27-10-2020,office supplies,321.4,849.9,90.48,0,317.6,
10-Jan-21,Automotive-Parts,509.5,595.1,219.71,Yes,518.8,
27-Jun-21, Electronics,241.1,520.3,46.59,N,250.3,
19-03-2021,Furniture,245.1,940.4,74.79,0,224.1,
11-11-2021,Electronis,234,392.4,46.78,0,221.2,
03-03-2021,Automotive Parts,363.3,632.2,219.57,0,368.8,
26-10-2021,Office Supplies,383,839.5,89.4,FALSE,348.1,
07-Oct-20,Groceries ,260.7,586.2,111.44,0,254.2,
27-Jun-21,Sport Goods,615.5,1337.5,130.12,1,574.1,
09-12-2022,Clothing,567.4,1375.3,172.58,0,555.1,
28-04-2022,Office Supplies,402.3,704.2,90.88,0,414.7,
02-05-2021,Clothing,382,1310,171.87,0,350.2,
17-06-2022,Furniture,284.9,1140.1,77.93,0,296.4,
22-12-2020,Grocerys,353.5,577.2,107.36,Y,352.7,
04-Mar-20,Pet Supplies,248.3,823.1,195.28,0,244.1,
09-03-2020,OFFICE SUPPLIES,288.5,917.5,88.17,0,284.5,
02-01-2022,electronics,277.5,355.9,46.55,N,272.4,
21-Sep-20, Office Supplies,286.7,837.3,91.99,0,298.9,
05-21-2021,"  Furniture	",275.7,974.8,72.63,0,260.8,
16-10-2022,Electronics,600.4,168.9,NULL,0,210.8,
10-Dec-22,Sport Goods,567.2,1473.3,129.7,0,525.3,
13-11-2022,Pet Supplies,374.3,?,193.59,No,387.7,
11-21-2021, Electronics,211,400.1,Rs.47.08,N,193,
04-08-2021,Apparel,452.5,1264.5,168.93,0,432.6,
22-09-2022,Furnture,403.9,1142,73.04,FALSE,422.6,
16-03-2020,Pet Supplies,217.7,825.5,200.6,0,223.8,
15-07-2022,Furnture,360.2,1141.4,75.71,0,354.4,
18-05-2022,GROCERIES,325.4,771.3,107.85,0,311.9,
07-04-2020,Pet Supplies,280.3,800.9,201.98,TRUE,265,
16-02-2021,AUTOMOTIVE PARTS,350.9,639.9,Rs.213.89,0,329.6,
07-05-2021,toys,313,637.1,235.99,0,297.2,
19-08-2022,automotive parts,missing,556.1,222.37,0,326.7,
03-15-2021,Groceries ,254.2,,106.64,0,233.6,
23-04-2020,ELECTRONICS,281,494,47.5,0,275.7,
28-Jul-22,Groceries,320.2,791.9,107.58,0,301.2,
30-03-2020,office supplies,276.9,879.8,87.69,0,264.6,
16-03-2020,"  beauty	",328.5,1132,160.29,0,307.5,
19-02-2020,Beauty,358,1041.4,164.62,0,NA,
30-01-2022,Furnture,264.4,716.6,75.51,0,271.9,
20-09-2021,Clothing,400,1344.4,173.85,0,412.8,
23-Jan-22,AUTOMOTIVE PARTS,401,670.2,217.14,0,388.8,
22-06-2021,automotive parts,N/A,681,218.35,0,238.9,
18-03-2022,electronics,373.5,299.9,45.09,0,355.8,
08-12-2022,Sport Goods,538,1444,127.72,0,494.5,
06-28-2022,PET SUPPLIES,265.1,795.9,192.12,0,251.5,
26-03-2020,Groceries,290.2,648,110.49,0,271.2,
04-11-2021,Automotive Parts,356.4,653.1,213.81,0,355.4,
13-12-2020,Beuaty,320.5,1064.3,170.35,FALSE,291.4,
29-07-2021,Electronics,247.3,475.6,46.12,FALSE,259.4,
11-09-2022,BEAUTY,426.6,482.9,Rs.161.68,0,396.2,
26-10-2022, Apparel,524.9,1336.7,170.72,0,-,
16-07-2022,PetSupplies,375.1,742.1,198.2,0,373.6,
30-12-2021,BEAUTY,381.1,722.7,163.19,0,380.1,
06-Jan-21,Pet Supplies ,278.5,836.5,201.59,0,251.6,
12-10-2022,OFFICE SUPPLIES,-,737.2,87.35,1,592.3,
09-19-2021,Appearl,457.2,1325.5,171.14,0,437,
31-10-2021,Automotive Parts,-,-686.8,216.39,0,298.9,
27-12-2022,Pet Supplies,N/A,687.1,191.79,0,369.3,
20-07-2022,"  OfficeSupplies	",379.2,685.8,90,0,354.8,
07-Mar-21,Electronic,289.7,497.3,46.47,0,296.5,
11-Jul-20,Auto Parts,276.8,786.2,221.76,No,260.5,
17-08-2021,Beuaty,378.8,1026,167.34,FALSE,373.1,
28-08-2020,Pet Supplies ,352.7,745.9,205.48,0,363,
30-07-2020,sporting goods,540,1339.3,129.46,0,514.7,
03-Jul-21,automotive parts,281.8,,214.06,FALSE,270,
20-06-2022,Toys,355.5,581.2,238.68,N,352.4,
16-09-2020,OFFICE SUPPLIES,346.8,829.5,84.22,0,360,
11-19-2021, Apparel,536,1271.6,167.9,0,537.4,
31-Mar-20,office supplies,263.3,891.8,94.07,0,250.5,
25-08-2020,BEAUTY,316.4,1089.5,999999,0,300.6,
01-20-2021,furniture,292.7,874.6,77.98,FALSE,299.9,
11-08-2020,OFFICE SUPPLIES,261.9,880.6,90.57,0,262.9,
24-08-2021,Furniture,-353.1,961.9,73.47,0,342.3,
21-04-2022,Sport Goods,583,1430,126.59,0,583.9,
11-24-2020,AUTOMOTIVE PARTS,289.3,638.9,211.62,0,298.6,
10-08-2022,Clothing,448.6,989.8,168.69,N,418.8,
31-May-21,toys,288.8,N/A,234.1,0,274.2,
27-12-2020,Sporting Goods,444.2,1422.9,132.86,0,?,
05-06-2020,Beauty,414.2,1105.4,167.95,0,428.6,
04-03-2022,ELECTRONICS,335.1,300.6,45.42,FALSE,338.8,
12-09-2022,beauty,390.5 units,976.4,166.3,0,401.7,
04-10-2022,Auto Parts,309.1,501.9,220,0,296.6,
23-10-2021,APPAREL,467.8,1317,169.94,0,430.1,
03-31-2022,"  FURNITURE	",231.7,1138.1,75.23,0,217.7,
13-07-2020,apparel,489,1319.3,170.9,TRUE,492.7,
10-05-2022,Groceries ,missing,765,110.13,0,311.8,
06-09-2020,ELECTRONICS,223.4,559.4,46.23,FALSE,217.1,
20-11-2020,Office Supplies,419.3,805.9,88.98,0,427.2,
08-07-2020,office supplies,360.7,-882.7,91.15,TRUE,348.4,
30-06-2021, Office Supplies,296.2,913.5,91.44,0,308.8,
06-Feb-22,Electronic,288,355.3,46.61,0,277.7,
08-Mar-22,Groceries,347,764.5,112.88,0,332.9,
27-08-2022,Sporting Goods,555.2,1445,126.65,0,520.3,
03-05-2022, Office Supplies,330.6,710.3,92.14,0,299,
05-01-2022,ELECTRONICS,missing,348.7,48.79,0,258.9,
10-10-2022,electronics,N/A,291.7,47.48,No,208.5,
23-02-2021,Groceries,N/A,608,107.23,FALSE,281.9,
28-08-2020, Toys,349.3,635.7,248.24,0,325.1,
08-30-2021,SPORTING GOODS,670.4,1376.1,126.74,1,605.9,
09-04-2020,furniture,999999,784.3,72.43,1,N/A,
01-20-2020,Auto Parts,missing,null,218.87,0,295.9,
06-09-2021, Apparel,356.4,1307.8,168.91,No,353,
17-06-2021,BEAUTY,518.4,993.4,163.37,1,?,
26-04-2022,ELECTRONICS,333.7,289.7,null,0,339.1,
10-08-2021,groceries,245.5,726.1,103.86,0,236.7,
09-01-2020,OFFICE SUPPLIES,400.9,870.3,87.52,0,406.3,
10-10-2022,Furniture,393.6,N/A,73.51,No,368.1,
04-03-2020,Electronics,missing,510.8,46.48,0,234.6,
20-02-2021,Toys,247.8,629.9,241.88,0,257.1,
26-08-2020,Appearl,471.4,1222.3,169.07,N,456.3,
07-27-2022,Pet Supplies,352.1,525.8,N/A,0,344.5,
03-11-2020,"  Groceries	",238.3,601.5,107.01,0,221.2,
21-09-2020,toys,304.8,620,239.02,0,317.3,
04-07-2020,toys,225.7,755.5,227.14,0,217.6,
15-04-2020,Sporting_Goods,784.6,-1357.5,125.64,1,999999,
22-05-2022,OfficeSupplies,334,719.9,89.45,0,336.6,
03-10-2021,BEAUTY,375.9,977.8,166.82,FALSE,355.2,
04-Jan-20,office supplies,361.7,885.2,87.91,N,374.6,
23-03-2020,BEAUTY,?,1136.2,164.07,0,329.9,
17-01-2021,Automotive-Parts,325.6,606.3,219.05,0,322.4,
02-24-2022,Grocery,-401.4,766.9,105.38,FALSE,371.3,
21-May-22,PET SUPPLIES,298.7,821.1,200.88,No,269.5,
09-08-2020,PET SUPPLIES,295.8,745.5,197.45,0,305.6,
12-12-2022,Electronics,240.5,307.5,47.51,FALSE,227.2,
19-11-2022,Office Supplies,509.8 units,724.1,92.44,No,494.5,
19-05-2021,Sporting_Goods,585.2,1310.4,125.6,0,611.2,
17-04-2022,Automotive-Parts,378.3,588.9,220.64,N,385.1,
26-11-2020,Groceries ,322.1,562.1,110.42,No,319.7,
30-09-2021, Office Supplies,424.1,799,90.36,0,399.9,
19-03-2020, Apparel,419.1,1247.1,167.4,0,392.7,
14-06-2021,Toy,282.4,438.6,236.92,0,286.4,
13-11-2021,Toy,330.5,658,239.92,0,328.1,
10-Oct-21,Auto Parts,272.5,697.2,Rs.221.45,No,255.9,
24-08-2021,GROCERIES,236.7,761,112.71,0,220.7,
15-Jan-20,BEAUTY,320.2,1019.2,159.6,N,305,
10-28-2020,Grocerys,269.7,592.2,105.39,N,262.3,
17-Nov-21,Sport Goods,513.7,1434.5,127.9,0,510,
06-05-2021,Sport Goods,559.9,1311.8,130.76,FALSE,571.5,
07-05-2020,Auto Parts,322,833,222.66,FALSE,321.6,
16-06-2022,sporting goods,605.4,1391.7,129.62,FALSE,571.8,
16-Aug-20,Toy,323.8,651.1,229.38,0,331.8,
08-01-2020,Clothing,450.3,1203.3,166.46,N,459.9,
29-Jul-21,Clothing,468.3,1283.6,165.83,0,457.3,
07-23-2021,PetSupplies,384.3 units,762.2,193.41,0,381.4,
14-05-2021,pet supplies,298,865.8,201.12,0,293.3,
20-May-21,office supplies,316.2,946.2,86.09,N,314.2,
28-12-2022,Furniture ,355.5,1117.2,74.37,0,360.9,
20-12-2020,sporting goods,431.4,null,133.57,FALSE,391.7,
27-Apr-22,apparel,454.6,1392.4,170.58,No,459.4,
03-01-2023,SPORTING GOODS,544.1,1486.2,129.58,FALSE,535.3,
07-11-2020,furniture,366.9,783.3,74.03,No,331.2,
08-05-2022,Automotive-Parts,-,537,222.95,0,329.7,
03-07-2020,Sport Goods,551.7,1417,131.93,0,577.7,
20-05-2022, Beauty,510.4,1009.9,162.48,0,520.3,
06-11-2021,electronics,199,409.9,46.05,No,196.7,
11-12-2020,OfficeSupplies,423.4,829.7,89.79,0,399.8,
03-09-2021,Pet Supplies,363.5,778.6,$193.41,No,360.4,
16-02-2021,Pet Supplies ,243.2,NA,199.53,No,250.3,
16-03-2022,toys,309.4,missing,245.35,FALSE,-,
24-Dec-21,Auto Parts,396.3,658.5,217.27,FALSE,396,
18-02-2020,Electronis,236.5,542,47.29,0,234.4,
08-11-2020,TOYS,299,613.6,232.17,0,313,
27-12-2021,Furnture,312.8,653,76.92,0,308.7,
01-08-2020,beauty,298.6,1035.6,159.43,N,300.4,
15-01-2021,GROCERIES,336.3,538.4,108.69,No,334.2,
05-18-2021,Electronics,274,315.3,46.39,FALSE,61.4,
29-10-2020,Grocerys,277.4,590.9 pcs,111.3,0,260.8,
26-05-2022,Beauty,460.7,1005.8,165.15,0,464,
01-05-2021,"  Grocerys	",412.6,NULL,107.58,1,385.1,
06-17-2021,Auto Parts,299.1,,223.99,FALSE,271.6,
09-08-2021,Furnture,439,976.7,76.18,TRUE,443.5,
12-Feb-20,Clothing,448.7,1226.2,173.9,FALSE,418.4,
13-Jun-21, Beauty,415.3,1005.1,168.27,0,415,
09-02-2020,Toys,219.2,805.8,233.22,0,213.3,
27-Apr-20,Grocery,206,461.1,109.6,FALSE,209.1,
25-Apr-21,Sporting Goods,528.5,1347.4,127.47,0,492.6,
05-04-2022,PET SUPPLIES,259.8,853.8,199.76,0,247.3,
25-05-2020,Auto Parts,275.3,855.4,212.32,0,276.4,
09-07-2021,PetSupplies,328.2,788.9,189.99,0,328.3,
13-05-2021,PET SUPPLIES,288.9,866.1,195.62,0,283.6,
30-Mar-20,Electronics,999999,501.5,46.78,0,252.9,
03-06-2022,BEAUTY,445.8,1033.6,162.99,0,424.1,
06-29-2020, Toys,318.9,661.1,237.28,0,325.8,
02-03-2020,pet supplies,?,830.4,193.8,0,258,
26-12-2021,office supplies,402.9,785.4,89.22,0,379.8,
09-11-2021,Sport Goods,469.3,1440.1,128.62,FALSE,435.1,
07-01-2022,groceries,353.5,765.1,105.61,N,322,
15-11-2021,Clothing,441.6,1294.9,$169.06,0,416.7,
05-Sep-21,OFFICE SUPPLIES,311.2,829.4,Rs.90.2,N,324.7,
29-Jul-21,GROCERIES,463.9,674.1,106.46,TRUE,477.6,
17-04-2020,beauty,391.8,1085.6,164.77,FALSE,392.2,
26-10-2020,Toy,268.1,640.6,236.79,0,273,
25-07-2020,automotive parts,268.6,757.6,212.23,0,257.1,
23-01-2022,Groceries,475.7,785,108.35,1,491.2,
09-17-2021,PetSupplies,573.3,778.8,194.29,1,5764,
24-06-2022,ELECTRONICS,missing,314.8,45.62,0,332.1,
25-09-2022,SPORTING GOODS,2057.6,1451.2,125.09,N,469.6,
18-Sep-21,Clothing,null,1324.3,172.12,0,417.2,
11-09-2022,OfficeSupplies,396,746.1,88.48,0,393.6,
06-05-2022,Office Supplies,420.9,680.7,90.97,FALSE,409,
28-02-2022,office supplies,394.1,726.6,92.67,FALSE,410.5,
02-10-2021,FURNITURE,404.8,963.7,71.35,0,371.9,
17-Jul-20,Pet Supplies,328.7,764.9,190.64,0,300,
08-04-2020, Beauty,356.1,1089.7,172.81,N,331.9,
29-08-2021,Toy,473.2,627.5,236.03,Y,445.5,
08-18-2022,Auto Parts,319.3,555.6,217.49,0,301.5,
21-04-2021,groceries,NA,624.7,105.69,0,286.7,
04-Jan-23,sporting goods,529.5,1488.5,131.97,0,540.8,
12-09-2020,Automotive-Parts,258.2,747.2,212.57,0,255.2,
11-16-2022,furniture,463.8,1161.2,70.12,Yes,425.3,
06-28-2020,pet supplies,,805.2,201.43,0,212.5,
30-05-2022,"  furniture	",246.5,1168.2,?,0,255.1,
31-10-2021,apparel,425.5,1339.5,Rs.168.48,0,406.4,
04-25-2022,Beauty,424.9,-,168.02,N,382.9,
29-Sep-22,PetSupplies,416.3,725,207.16,0,412.9,
18-09-2022,furniture,406.4,1151.5,null,0,391.4,
13-May-21,ELECTRONICS,329.2,476.8,45.26,0,306.7,
07-11-2021,Groceries ,249.5,652.3,106.76,FALSE,261.2,
04-03-2022, Beauty,441.4,1016,167.08,0,413.9,
12-08-2022,Automotive-Parts,298.2,558,Rs.226.73,0,306.1,
16-Jul-21,Automotive Parts,302.3,659,216.53,FALSE,304.9,
09-Jun-20,OFFICE SUPPLIES,251,889.1,89.27,N,246.1,
28-02-2021,Office Supplies,341.9,914.5,84.97,0,353.9,
02-01-2021,"  apparel	",490.2,1250.8,168.11,0,510.3,
17-12-2021,Auto Parts,383.7,656.8,220.14,0,3789,
16-05-2022, Office Supplies,335.7,722.9,89.28,0,326.2,
07-Mar-21,Sporting Goods,507.6,1361.1,127.95,0,520.4,
18-01-2020,APPAREL,484.9,1191.7,166.63,0,487.3,
11-05-2022,Auto Parts,373.8,-529.7,$216.11,0,389,
07-01-2022,OfficeSupplies,630.7,758.9,90.67,TRUE,595.4,
21-12-2020,groceries,273.1,580.4,108.56,FALSE,264,
24-Mar-20,Grocery,295.5,405.1,107.27,1,274.4,
14-06-2020,OfficeSupplies,237.9,906.5,86.09,0,227.9,
30-04-2021,Appearl,431.7,1285.8,164.36,FALSE,433.1,
05-08-2020,Office Supplies,294.2,885.8,89.32,N,282.2,
09-08-2021,AUTOMOTIVE PARTS,377.8,682.3,215.52,Y,395.2,
22-09-2020,PET SUPPLIES,?,806.1,194.16,N,294.6,
05-26-2021,Groceries ,262,693.1,110.35,0,NULL,
31-10-2022,Furniture ,366.8,1149.2,null,0,359.6,
20-Dec-20,PetSupplies,298.1,810.6,197.47,0,298.9,
12-29-2021,Pet Supplies,341.1,817.4,189.92,No,355.7,
11-Jul-20,groceries,232.3,?,$107.38,0,233.7,
22-Jun-20,Automotive-Parts,-228.3,866.3,224.8,FALSE,214.7,
16-02-2020,AUTOMOTIVE PARTS,-,795.3,214.79,FALSE,342.7,
25-07-2021,automotive parts,247.4,670.4,215.73,FALSE,236.7,
25-12-2022,GROCERIES,406.5,-745.2,105.18,0,419.2,
04-Nov-21,office supplies,714.7,803.3,missing,Y,727.1,
13-Jul-22,"  Appearl	",453.8,1443.1,166.75,0,446.6,
26-12-2022,Electronis,283,274,45.82,N,260.7,
27-01-2021,APPAREL,484.2,1278.2,171.63,0,NULL,
18-12-2021,Toy,307.8,693.5,239.89,No,287.4,
09-09-2020,Electronics,139.7,562.5,45.52,No,142.5,
23-Mar-22, Office Supplies,451.6,731.6,88.04,N,442.1,
01-23-2021,electronics,264.8,545.1,46.57,FALSE,249.6,
02-12-2020,"  APPAREL	",441.6,1251.2,171.29,0,420.7,
08-05-2021,Beuaty,500.9,1012.3,-,FALSE,456.3,
25-08-2020,Sport Goods,-465.2,1372.7,129.78,0,434.5,
28-Oct-20,pet supplies,316.8,823.2,196.08,0,306.8,
03-Sep-22,PetSupplies,393,722.4,missing,N,377.6,
24-May-20,Electronic,225.3,541.4,47.22,No,211,
30-11-2020,toys,275.3,NA,235.87,0,271.4,
